Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
3,1,All-cause mortality,Naltrexone/bupropion versus placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Nal/Bup,Placebo,IV,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Nal/Bup,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432496664934
3,2,Cardiovascular morbidity,Naltrexone/bupropion versus placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Nal/Bup,Placebo,IV,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Nal/Bup,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432496664936
3,3,Serious adverse events,Naltrexone/bupropion versus placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Nal/Bup,Placebo,IV,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Nal/Bup,Favours Placebo,2,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432496664938
3,4,All adverse events,Naltrexone/bupropion versus placebo,Custom input,#N/A,Dichotomous,true,,,,,,,Nal/Bup,Placebo,IV,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Nal/Bup,Favours Placebo,2,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432496664940
3,5,Change in body weight from baseline to endpoint (28 months follow-up),Naltrexone/bupropion versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Nal/Bup,Placebo,IV,Mean Difference,kg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Nal/Bup,Favours Placebo,5,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432496664946
3,6,Change in systolic blood pressure from baseline to endpoint (28 months follow-up),Naltrexone/bupropion versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Nal/Bup,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Nal/Bup,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432496664942
3,7,Change in diastolic blood pressure from baseline to endpoint (28 months follow-up),Naltrexone/bupropion versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Nal/Bup,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Nal/Bup,Favours Placebo,2,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:416913432496664944
4,1,Change in systolic blood pressure from baseline to endpoint (15 months follow-up),Semaglutide versus placebo&nbsp;,Custom input,#N/A,Continuous,false,,,,,,,Semaglutide,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Semaglutide,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:454491778835143819
4,2,Change in diastolic blood pressure from baseline to endpoint (15 months follow-up),Semaglutide versus placebo&nbsp;,Custom input,#N/A,Continuous,false,,,,,,,Semaglutide,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Semaglutide,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:454491890146729195
5,1,Change in systolic blood pressure from baseline to endpoint (16 months follow-up),Tirzepatide versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Tirzepatide,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Tirzepatide,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:454491932987088199
5,2,Change in diastolic blood pressure from baseline to endpoint (16 months follow-up),Tirzepatide versus placebo,Custom input,#N/A,Continuous,false,,,,,,,Tirzepatide,Placebo,IV,Mean Difference,mm Hg,Random effect,DL,false,false,false,false,false,false,Wald,95%,STUDY,Favours Tirzepatide,Favours Placebo,10,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:454491979306360266
