Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Pichler 2018,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Control,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Intervention,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Control,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2018,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Intervention,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,All-cause mortality <28 weeks age,Arm level,,Control,,118,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,All-cause mortality <28 weeks age,Arm level,,Intervention,,110,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,All-cause mortality mortality prior to discharge,Arm level,,Control,,303,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,All-cause mortality mortality prior to discharge,Arm level,,Intervention,,304,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Chronic lung disease <28 weeks age,Arm level,,Control,,118,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Chronic lung disease <28 weeks age,Arm level,,Intervention,,110,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Control,,303,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Intervention,,304,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) <28 weeks age,Arm level,,Control,,118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
