Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Bosworth 2018,Clinical measurements: systolic blood pressure End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,180,,128.1,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDs not reported; imputed using methods from Follmann (1992) and Abrams (2005).
Bosworth 2018,Clinical measurements: systolic blood pressure End of study,Arm level,,Usual care,,191,,126.6,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,215,,8,2.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,Usual care,,213,,7.6,1.7,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,86,,7.6,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDs not reported; imputed using methods from Follmann (1992) and Abrams (2005).
Bosworth 2018,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Usual care,,85,,7.7,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,Laboratory values: LDL cholesterol,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,215,,125.5,37.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,Laboratory values: LDL cholesterol,Arm level,,Usual care,,213,,123.9,36.2,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosworth 2018,Laboratory values: LDL cholesterol End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,180,,115.2,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDs not reported; imputed using methods from Follmann (1992) and Abrams (2005).
Bosworth 2018,Laboratory values: LDL cholesterol End of study,Arm level,,Usual care,,180,,116,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bynum 2001,Patients’ satisfaction End of study,Arm level,,Usual care,,21,,4.15,0.99,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bynum 2001,Patients’ satisfaction End of study,Arm level,,Video (synchronous),,15,,4.58,0.45,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautier 2021,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,"E-mail, SMS or text message",,33,,6.89,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The original study reported the mean change (SD) as -0.16 (0.9) for the intervention group (n = 128) and 0.01 (0.58) for the control group (n = 94). We used the effective sample size approach of Rao and Scott in 1992.
Gautier 2021,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Usual care,,24,,6.95,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautier 2021,Medication adherence,Arm level,,"E-mail, SMS or text message",,255,,6.6,1.7,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautier 2021,Medication adherence,Arm level,,Usual care,,244,,7,1.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautier 2021,Medication adherence 3 months,Arm level,,"E-mail, SMS or text message",,170,,0.58,1.29,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautier 2021,Medication adherence 3 months,Arm level,,Usual care,,136,,0.12,1.27,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautier 2021,Medication adherence 6 months,Arm level,,"E-mail, SMS or text message",,156,,0.46,1.42,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautier 2021,Medication adherence 6 months,Arm level,,Usual care,,140,,0.34,1.05,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gautier 2021,Medication adherence End of study,Arm level,,"E-mail, SMS or text message",,41,,7.06,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The original study reported the mean change (SD) as 0.46 (1.42) for the intervention group (n = 156) and 0.34 (1.05) for the control group (n = 140). We used the effective sample size approach of Rao and Scott in 1992.
Gautier 2021,Medication adherence End of study,Arm level,,Usual care,,36,,7.34,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales 2021,Drug-related problems End of study,Arm level,,Smart mobile devices (synchronous),,68,,20.68,18.35,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales 2021,Drug-related problems End of study,Arm level,,Usual care,,68,,21.26,25.24,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,Multiple combination devices (include non-mobile device),,49,,9.49,2.04,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,Usual care,,48,,9.59,1.76,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Multiple combination devices (include non-mobile device),,49,,8.54,1.39,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Usual care,,48,,9.11,1.71,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Medication adherence,Arm level,,Multiple combination devices (include non-mobile device),,49,,-4.92,2.01,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Medication adherence,Arm level,,Usual care,,48,,-4.87,1.39,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Medication adherence 3 months,Arm level,,Multiple combination devices (include non-mobile device),,49,,-3.33,0.55,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Medication adherence 3 months,Arm level,,Usual care,,48,,-4.87,1.39,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Medication adherence End of study,Arm level,,Multiple combination devices (include non-mobile device),,49,,-3.33,0.55,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMDs used; Hoda 2023 scores reversed (×–1) to match directionality (Cochrane Handbook).
Hoda 2023,Medication adherence End of study,Arm level,,Usual care,,48,,-4.87,1.39,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Patients’ quality of life,Arm level,,Multiple combination devices (include non-mobile device),,49,,0.68,0.26,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Patients’ quality of life,Arm level,,Usual care,,48,,0.72,0.19,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Patients’ quality of life End of study,Arm level,,Multiple combination devices (include non-mobile device),,49,,0.73,0.17,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoda 2023,Patients’ quality of life End of study,Arm level,,Usual care,,48,,0.74,0.19,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2024,Drug-related problems_dichotomous,Arm level,,Smart mobile devices (synchronous),,56,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2024,Drug-related problems_dichotomous,Arm level,,Usual care,,56,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2024,Drug-related problems_dichotomous End of study,Arm level,,Smart mobile devices (synchronous),,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2024,Drug-related problems_dichotomous End of study,Arm level,,Usual care,,56,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2024,Worsening of NCDs,Arm level,,Smart mobile devices (synchronous),,56,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2024,Worsening of NCDs,Arm level,,Usual care,,56,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2024,Worsening of NCDs End of study,Arm level,,Smart mobile devices (synchronous),,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2024,Worsening of NCDs End of study,Arm level,,Usual care,,56,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Clinical measurements: diastolic blood pressure,Arm level,,Multiple combination devices (include non-mobile device),,115,,84.3,15.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Clinical measurements: diastolic blood pressure,Arm level,,Usual care,,118,,85.1,14.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Clinical measurements: diastolic blood pressure End of study,Arm level,,Multiple combination devices (include non-mobile device),,115,,77.8,16.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Clinical measurements: diastolic blood pressure End of study,Arm level,,Usual care,,118,,81.9,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Clinical measurements: systolic blood pressure,Arm level,,Multiple combination devices (include non-mobile device),,115,,145.9,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Clinical measurements: systolic blood pressure,Arm level,,Usual care,,118,,146.7,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Clinical measurements: systolic blood pressure End of study,Arm level,,Multiple combination devices (include non-mobile device),,115,,124.9,17.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Clinical measurements: systolic blood pressure End of study,Arm level,,Usual care,,118,,132.4,13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Drug-related problems_dichotomous End of study,Arm level,,Multiple combination devices (include non-mobile device),,115,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Drug-related problems_dichotomous End of study,Arm level,,Usual care,,118,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence,Arm level,,Multiple combination devices (include non-mobile device),,115,,4.9,2.8,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence,Arm level,,Usual care,,118,,4.6,1.9,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence 12 months,Arm level,,Multiple combination devices (include non-mobile device),,115,,7.6,1.8,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence 12 months,Arm level,,Usual care,,118,,6.3,2.6,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence 3 months,Arm level,,Multiple combination devices (include non-mobile device),,115,,7.3,3.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence 3 months,Arm level,,Usual care,,118,,5.9,2.7,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence 6 months,Arm level,,Multiple combination devices (include non-mobile device),,115,,7.9,2.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence 6 months,Arm level,,Usual care,,118,,6.1,3.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence 9 months,Arm level,,Multiple combination devices (include non-mobile device),,115,,7.9,2.4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence 9 months,Arm level,,Usual care,,118,,5.7,2.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence End of study,Arm level,,Multiple combination devices (include non-mobile device),,115,,7.6,1.8,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim 2022,Medication adherence End of study,Arm level,,Usual care,,118,,6.3,2.6,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihekoronye 2024,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,"E-mail, SMS or text message",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The general target for glycaemic control is ≤ 7%, with categorical ranges defined as: 6.1–7.0, 7.1–8.0, 8.1–9.0, and 9.1–10.0."
Ihekoronye 2024,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Usual care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihekoronye 2024,Medication adherence,Arm level,,"E-mail, SMS or text message",,152,,3.35,2.31,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihekoronye 2024,Medication adherence,Arm level,,Usual care,,149,,3.41,45,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihekoronye 2024,Medication adherence 6 months,Arm level,,"E-mail, SMS or text message",,152,,6.72,4.63,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihekoronye 2024,Medication adherence 6 months,Arm level,,Usual care,,149,,3.5,46.2,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ihekoronye 2024,Medication adherence End of study,Arm level,,"E-mail, SMS or text message",,152,,6.72,4.63,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,Post-intervention and control standard deviations were not reported. Values were imputed using methods described by Follmann (1992) and Abrams (2005).
Ihekoronye 2024,Medication adherence End of study,Arm level,,Usual care,,149,,3.5,46.2,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Clinical measurements: asthma control,Arm level,,Smart mobile devices (synchronous),,87,,19.3,5.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Clinical measurements: asthma control,Arm level,,Usual care,,147,,19.8,5.6,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Clinical measurements: asthma control End of study,Arm level,,Smart mobile devices (synchronous),,87,,20.7,5.2,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Clinical measurements: asthma control End of study,Arm level,,Usual care,,147,,20.9,5.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Medication adherence,Arm level,,Smart mobile devices (synchronous),,87,,20.4,3.9,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Medication adherence,Arm level,,Usual care,,147,,20.4,4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Medication adherence 6 months,Arm level,,Smart mobile devices (synchronous),,87,,19.9,4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Medication adherence 6 months,Arm level,,Usual care,,147,,19.3,5.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Medication adherence End of study,Arm level,,Smart mobile devices (synchronous),,87,,19.9,4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Medication adherence End of study,Arm level,,Usual care,,147,,19.3,5.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Patients’ quality of life,Arm level,,Smart mobile devices (synchronous),,87,,5.8,0.9,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Patients’ quality of life,Arm level,,Usual care,,147,,6,1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Patients’ quality of life End of study,Arm level,,Smart mobile devices (synchronous),,87,,6,0.8,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosse 2019,Patients’ quality of life End of study,Arm level,,Usual care,,147,,6.1,0.9,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauffenburger 2019,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,678,,8.55,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The original study reported mean change (SD) as -0.75 (1.96) for the intervention group (n = 678) and -0.79 (2.01) for the control group (n = 684). We used the imputation methods of Follmann 1992 and Abrams 2005.
Lauffenburger 2019,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Usual care,,684,,8.61,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauffenburger 2019,Medication adherence,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,700,,80.5,21.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauffenburger 2019,Medication adherence,Arm level,,Usual care,,700,,79.8,22.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauffenburger 2019,Medication adherence 12 months,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,678,,81.9,30.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauffenburger 2019,Medication adherence 12 months,Arm level,,Usual care,,684,,81.9,31,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauffenburger 2019,Medication adherence End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,678,,81.9,30.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauffenburger 2019,Medication adherence End of study,Arm level,,Usual care,,684,,81.9,31,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Clinical measurements: diastolic blood pressure,Arm level,,Multiple combination devices (include non-mobile device),,228,,84.4,16.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Clinical measurements: diastolic blood pressure,Arm level,,Usual care,,222,,85.1,16.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Clinical measurements: diastolic blood pressure End of study,Arm level,,Multiple combination devices (include non-mobile device),,188,,75.1,14.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Clinical measurements: diastolic blood pressure End of study,Arm level,,Usual care,,182,,78.7,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Clinical measurements: systolic blood pressure,Arm level,,Multiple combination devices (include non-mobile device),,228,,148.2,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Clinical measurements: systolic blood pressure,Arm level,,Usual care,,222,,147.7,14.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Clinical measurements: systolic blood pressure End of study,Arm level,,Multiple combination devices (include non-mobile device),,188,,126.9,17.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Clinical measurements: systolic blood pressure End of study,Arm level,,Usual care,,182,,133,17.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence,Arm level,,Multiple combination devices (include non-mobile device),,228,,66.7,59.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence,Arm level,,Usual care,,222,,66.9,62.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence 12 months,Arm level,,Multiple combination devices (include non-mobile device),,197,,68.6,53.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence 12 months,Arm level,,Usual care,,191,,63.7,59.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence 18 months,Arm level,,Multiple combination devices (include non-mobile device),,188,,71.6,53.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence 18 months,Arm level,,Usual care,,182,,62.6,62.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence 6 months,Arm level,,Multiple combination devices (include non-mobile device),,206,,77.4,47.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence 6 months,Arm level,,Usual care,,197,,61,62.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence End of study,Arm level,,Multiple combination devices (include non-mobile device),,188,,71.6,53.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Medication adherence End of study,Arm level,,Usual care,,182,,62.6,62.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Patients’ satisfaction,Arm level,,Multiple combination devices (include non-mobile device),,228,,4.3,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Patients’ satisfaction,Arm level,,Usual care,,222,,4.3,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Patients’ satisfaction End of study,Arm level,,Multiple combination devices (include non-mobile device),,188,,4.5,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margolis 2013,Patients’ satisfaction End of study,Arm level,,Usual care,,182,,4.4,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Clinical measurements: diastolic blood pressure,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,59,,85.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Clinical measurements: diastolic blood pressure,Arm level,,Usual care,,59,,80.7,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Clinical measurements: diastolic blood pressure End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,57,,79.5,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Clinical measurements: diastolic blood pressure End of study,Arm level,,Usual care,,59,,80.2,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Clinical measurements: systolic blood pressure,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,59,,148.1,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Clinical measurements: systolic blood pressure,Arm level,,Usual care,,59,,146.2,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Clinical measurements: systolic blood pressure End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,57,,134.8,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Clinical measurements: systolic blood pressure End of study,Arm level,,Usual care,,59,,145.9,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Medication adherence,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,59,,7.1,1.4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Medication adherence,Arm level,,Usual care,,59,,7.6,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Medication adherence 6 months,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,57,,8.4,0.9,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Medication adherence 6 months,Arm level,,Usual care,,59,,7.9,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozu 2023,Medication adherence End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,57,,8.4,0.9,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,The SD for the post-intervention mean in the control group was not reported in the publication. The missing SD was obtained directly from the study authors via personal communication and used in the analysis.
Mozu 2023,Medication adherence End of study,Arm level,,Usual care,,59,,7.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Clinical measurements: pain relief,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,8,,2.88,2.53,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Clinical measurements: pain relief,Arm level,,Usual care,,8,,3.63,2.84,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Clinical measurements: pain relief End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,8,,9,1.41,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Clinical measurements: pain relief End of study,Arm level,,Usual care,,8,,6.61,3.83,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Drug-related problems,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,8,,2.13,1.81,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Drug-related problems,Arm level,,Usual care,,8,,1.5,1.41,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Drug-related problems End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,8,,1.63,1.6,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Drug-related problems End of study,Arm level,,Usual care,,8,,4.63,2.88,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
