Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding (performance bias and detection bias): participants,Domain (support): Blinding (performance bias and detection bias): participants,Domain (judgement): Blinding (performance bias and detection bias): those delivering intervention,Domain (support): Blinding (performance bias and detection bias): those delivering intervention,Domain (judgement): Blinding (performance bias and detection bias): outcome assessors,Domain (support): Blinding (performance bias and detection bias): outcome assessors,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Brenes 2007,Low risk,<p>Computer-generated random allocation list</p>,Unclear risk,<p>Method not described in the paper</p>,High risk,<p>Participants were not blinded to treatment allocation</p>,High risk,"<p>Those delivering the intervention were not blind, but it is not clear what influence this had on bias</p>",Low risk,"<p>Used HDRS as an outcome, assessors were blind to treatment allocation</p>",Unclear risk,"<p>The authors of the trial state that it is intention-to-treat, but no data are provided on the number who dropped out of the trial</p>",Unclear risk,"<p>It appears that all the prespecified outcomes are reported, but no protocol</p>",Unclear risk,<p>unclear</p>
Brush 2022,Low risk,"<p>Computer generated randomisation, stratified (depressive symptom severity), block randomisation</p>",Unclear risk,<p>not described</p>,High risk,<p>Participants not blinded and depressive symptoms measured via online survey platform (so self-reported)</p>,High risk,<p>Not reported</p>,High risk,<p>Participants were not blinded and outcome was self-assessed</p>,Low risk,"<p>Intention to treat analysis on all outcomes, using last observation carried forward for missing observtaions&nbsp;</p>",Unclear risk,<p>Protocol not found</p>,Low risk,<p>None identified</p>
Buschert 2019,Unclear risk,"<p>Balanced block randomisation, unclear how blocking was done</p>",Unclear risk,<p>No information given</p>,High risk,<p>Self-assessment tool (BDI used)</p>,High risk,<p>Those delivering the exercise and Control were aware of allocation</p>,Unclear risk,<p>Participants themselves completed the outcome measures (BDI) and it’s unclear whether those administering HAMD were blinded</p>,Unclear risk,<p>8/38 lost to follow-up – total numbers per group given – unclear if affects outcomes – reasons not identified per group</p>,Unclear risk,<p>All outcomes in protocol reported</p>,Unclear risk,<p>No other sources identified</p>
Cheung 2018,Low risk,"<p>Randomisation procedure was performed by research staff unrelated to the study, using block randomization (block size 6)</p>",Low risk,"<p>The principal investigator who was responsible for all outcome assessments was blind to the group allocation, and had no access to such result until the end of the study.</p>",High risk,<p>Patients not blinded but depression outcomes assessed by blinded professional</p>,High risk,"<p>Not described - ""The exercise instructor was not informed of baseline outcomes."" but doen't mention whether they were blinded to the allocation</p>",Low risk,"<p>The principal investigator who was responsible for all outcome assessments was blind to the group allocation, and had no access to such result until the end of the study</p>",Low risk,<p>2/34 dropped out (2/17 aerobic group; 0/17 control group). Intention-to -treat analysis conducted using last observation carried forward method</p>,Low risk,<p>The study protocol is available and all of the study’s pre-specified (primary and secondary) outcomes that are of interest in the review have been reported in the pre-specified way - https://ctr.ccrb.cuhk.edu.hk/public/214</p>,Low risk,<p>The study appears to be free of other sources of bias</p>
Chu 2008,Unclear risk,<p>Not described</p>,Unclear risk,<p>Unclear; not described</p>,High risk,<p>Participants not blind to treatment allocation</p>,High risk,<p>Those delivering the intervention were not blind</p>,High risk,<p>BDI-II self report was used as the primary outcome</p>,High risk,"<p>16/54 dropped out (3/18 in high dose, 7/18 in low dose and 6/18 in control)</p>",Unclear risk,"<p>It appears that all prespecified outcomes are reported, but no protocol</p>",Unclear risk,<p>Unclear</p>
De Groot 2019,Low risk,<p>Computer generated</p>,Low risk,<p>Password protected waste generation</p>,High risk,<p>Unclear</p>,High risk,<p>Unclear</p>,Low risk,<p>Psychological interview blinded to assignment</p>,Low risk,<p>Intention-to-treat analysis carried out</p>,Low risk,<p>All outcomes reported as in protocol</p>,Unclear risk,<p>Unclear</p>
Doose 2015,Unclear risk,<p>No explanation of randomization method or unit</p>,Unclear risk,<p>No explanation of allocation concealment</p>,High risk,"<p>Unblinded, but unclear what influence this had on bias.</p>",High risk,"<p>Unblinded – “General information about depression and expected difficulties in personal interaction was provided to coaches beforehand”, but unclear what influence this had on bias.</p>",High risk,"<p>Unblinded – ""other studies have blinded the outcome assessor”</p>",Low risk,<p>Intention to treat analysis used. Attrition rates of 23% for intervention group and 25% for control</p>,Low risk,<p>All outcomes reported</p>,Unclear risk,<p>We felt adherence was reasonable and a drop of 78.9% to 50% over the course of 8 weeks is to be expected in depressed participants</p>
Doyne 1987,Unclear risk,"<p>Report states random assignment after matching participants on baseline BDI scores of intervals of &lt; 19, 20 - 29 and &gt; 30</p>",High risk,<p>Inadequate (as assessed by Lawlor and Hopker in <i>BMJ</i> review in 2001)</p>,High risk,"<p>Participants not blind to treatment allocation, but unclear risk of bias</p>",High risk,<p>Those delivering the intervention were not blind</p>,High risk,<p>BDI was the primary outcome</p>,High risk,"<p>Of the 57 women who met criteria for inclusion, 40 completed treatment, and 32 completed follow-up. Drop-out rates were 40% in 'track', 29% in 'universal' and 13% in waiting list control</p>",Unclear risk,"<p>It appears that all the prespecified outcome measures are reported, but no protocol</p>",Unclear risk,<p>Unclear</p>
Dunn 2005,Unclear risk,<p>Method of sequence generation not stated</p>,Low risk,<p>Opaque sealed envelopes</p>,High risk,"<p>Participants not blind to treatment allocation, but unclear effect on bias</p>",High risk,"<p>Those supervising delivery of the intervention were not blind, but it is unclear what effect this had on bias</p>",Low risk,<p>Trained research assistants applied the HRSD blind to treatment allocation</p>,Low risk,<p>Intention-to-treat analyses</p>,Low risk,<p>There is a published protocol (Dunn 2002)</p>,Unclear risk,<p>Unclear</p>
Eman 2017,Unclear risk,<p>‘selected randomly from outpatient clinic’</p>,Unclear risk,<p>Not stated</p>,High risk,<p>Not stated</p>,High risk,<p>Not stated</p>,Unclear risk,<p>Not stated</p>,Unclear risk,<p>No attrition</p>,Unclear risk,<p>Not stated</p>,Unclear risk,<p>Unclear</p>
