Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,2,Hb (g/L),Female,1,SUBGROUP_AND_OVERALL,Marks 2013 (FIRST),2013,,,134.9,8.7,,109,130,9.9,,97,,,7.364501418222662,4.900000000000006,2.3409023821241575,7.4590976178758535,,Low risk,"<p>""Allocation will be through central randomization by computer off-site... Randomisation will be carried out by Trident Clinical Research Pty Ltd. The sequence of allocation of carbonyl iron or placebo to donors will be ascertained via a computerised randomisation program. Donors will be assigned a numbered packet sequentially on enrolment""</p>",Low risk,"<p>Described as double-blind placebo-controlled. Assume to be participants and carers<br><br>""All analyses were performed on the intention-to-treat population. The safety population comprised all study participants enrolled in this study receiving a dose of the investigational product or placebo.""<br><br>&nbsp;</p>",Low risk,<p>none noted</p>,Low risk,"<p>However ""capillary Hb was measured during the donation interview process, Hb was not recorded for participants who were ineligible to donate due to reasons other than low Hb, such as illness"". Data presented for an unclear total.&nbsp;<br><br>Described as double blind, unclear if outcome assessors were blinded</p>",Some concerns,"<p>Trial protocol identified, though limited in detail</p>",Some concerns,<p>see individual comments</p>
1,2,Hb (g/L),Female,1,SUBGROUP_AND_OVERALL,Rosvik 2010,2010,,,129,6,,82,128,7,,79,,,7.833945281667294,1,-1.0172186560839376,3.0172186560839376,,Some concerns,"<p>Randomisation process not described<br>Baseline blood data only given by sex, combining iron and no iron groups together.</p>",Some concerns,"<p>No placebo, no blinding. Just no treatment.<br>Analysed everyone who returned for follow up.&nbsp;</p>",High risk,<p>Approx 20% lost per group</p>,Low risk,<p>Standard blood analysis</p>,Some concerns,"<p>Trial registration available, lacks a lot of detail.&nbsp;</p>",High risk,<p>see individual comments</p>
1,2,Hb (g/L),Female,1,SUBGROUP_AND_OVERALL,Simon 1984,1984,,,140.5,9.304,,44,134,8.7,,19,,,5.282348199343297,6.5,1.718709215802157,11.281290784197843,,Low risk,"<p>""randomly assigned to one of three groups by pulling a card with an A. B, or C on it from an envelope in which the cards had been placed in random order. The donor was then given a bottle of medication marked either A. B. or C according to the card pulled. The bottles were filled in the pharmacy of the University of New Mexico Hospital according to their code.""<br><br>Demographics reported in detail. Only significant difference is in prior iron supplementation (much lower in iron/vitC group). Unlikely to impact outcomes if ceased prior to randomisation</p>",High risk,"<p>Appears to be a fully blinded based in randomisation, and note that they broke code only one year into the study. Bottles marked ABC in pharmacy then delivered to donors. Code only available to pharmacist. Resulting in likely triple/quadruple blinding<br><br>appears to be PP as excluded anyone not achieving 4 donations, at every analysis point (did not include those who later dropped out)<br><br>&nbsp;</p>",High risk,"<p>Over half withdrew.<br>Withdrawals explained, some due to feelings of anaemia and weakness, tiredness, or side effects.<br>&nbsp;</p>",Low risk,<p>Standard blood analyses<br>Fully blinded until one year<br>&nbsp;</p>,Low risk,<p>No protocol or trial registration identified<br>&nbsp;</p>,High risk,<p>See individual comments</p>
1,2,Hb (g/L),Female,1,SUBGROUP_AND_OVERALL,Waldvogel 2012,2012,,,135,67,,74,130,53,,71,,,0.7258867404277333,5,-14.621730150009451,24.62173015000945,,Low risk,"<p>""simple random allocation sequence without restriction was generated by<br><br>an independent pharmacy according to a pre-established computer-generated list. Each drug package was identified with a unique number according to the randomization schedule and given to the nurse in charge of the participant.<br><br>The code was held by the pharmacist and remained unbroken until the end of the trial. The allocation remained concealed from participants, care providers, investigators and the statistician until the end of the statistical analysis.""<br><br>&nbsp;</p>",Low risk,"<p>Quadruple blinded (participants, personnel, outcome assessors, statistical analysis)<br><br>mITT - ""Missing data from dropouts were not replaced and only donors who were followed-up after four weeks’ treatment were included in the analysis.""<br><br>&nbsp;</p>",Low risk,<p>Very small number of dropouts. All explained and unrelated to trial<br>&nbsp;</p>,Low risk,<p>Standard blood analysis<br>Fully masked study<br>&nbsp;</p>,Low risk,"<p>Protocol and trial registration available, and reported as stated</p>",Low risk,<p>See individual comments</p>
1,2,Hb (g/L),Male,2,SUBGROUP_AND_OVERALL,Blot 1980,1980,,,156,9,,42,155,10,,43,,,5.955198247370441,1,-3.042542874235142,5.042542874235142,,Some concerns,"<p>Translation from French to English. Randomisation process and allocation not mentioned.<br><br>Authors state there was no difference between those groups, though data not provided</p>",High risk,"<p>No mention of blinding - authors describe participants being aware of the principles and aims of the studies, but nothing specifically about group assignment. Knowledge of assignment has been inferred through lack of placebo.<br><br>Deviations not mentioned.<br><br>Appear to have analysed at each stage, only those who attended, no specific post randomisation exclusions noted (mITT). No explicit note on intention to treat analysis.<br><br>&nbsp;</p>",High risk,"<p>Loss to follow up was unbalanced: by second donation, only 80% (Fe group) and 87% remained.<br>&nbsp;</p>",Low risk,"<p>Laboratory measures<br>Standard protocol, objective outcome.<br>Those taking blood may have been aware of the group assignment, but the processing of blood samples likely occurred separately<br>&nbsp;</p>",Some concerns,"<p>No protocol or trial registration, and no further information due to age of trial<br><br>Assessed using standard techniques, at next donation. There is a possibility that time to donation varied, but authors report mean duration between donations (by sex), though not by intervention group<br>&nbsp;</p>",High risk,<p>See individual comments</p>
1,2,Hb (g/L),Male,2,SUBGROUP_AND_OVERALL,Dara 2017,2017,,,137,10,,64,128,8,,62,,,6.802531259909786,9,5.8428404768680595,12.157159523131941,,Some concerns,<p>No information regarding randomisation process.<br><br>Some imbalance in blood tests and number of previous donations. This seems to influence the outcomes as they have attempted to perform a post-hoc subgroup analysis</p>,Low risk,"<p>Described as placebo controlled, single blind, assumed to be participants.<br><br>mITT appears to have been used - including those who returned to donate at visit 3 (first donation since commencement of treatment)<br><br>&nbsp;</p>",High risk,"<p>Only 64 and 62 per group by visit 3 (from 98 and 102)<br>Proportions missing are balanced between groups. Withdrawals some explained, other just ""did not show up""<br><br>&nbsp;</p>",Low risk,"<p>Standard blood tests<br><br>Described as single blinded, suggests outcome assessors were aware.<br><br>Standard blood tests in labs, unlikely to be affected by knowledge of assignment</p>",Some concerns,<p>No protocol or trial registration identified</p>,High risk,<p>See individual comments</p>
1,2,Hb (g/L),Male,2,SUBGROUP_AND_OVERALL,Kiss 2015 (REDS-III HEIRS),2015,,,149,8,,37,144,16,,38,,,4.5245300887102085,5,-0.7029805414865198,10.70298054148652,,Low risk,"<p>""A stratified enrolment and randomization scheme was followed to ensure inclusion of participants with varying iron stores and a slight overrepresentation of women(60%female/40% male) and individuals 60 years and older (20%). Participants were assessed for iron status per protocol as iron depleted (“low ferritin,” ≤26 ng/mL) and iron-replete (“higher ferritin,” &gt;26 ng/mL) based on the ferritin measurement at enrolment""<br>""If the appropriate subgroup remained open, a centralized computer program randomized the participant to receive iron supplements or no iron""</p>",Low risk,"<p>Open label trial, standard care only, no placebo<br>appears to use mITT - including everyone in the primary analysis that attended at least 6 follow up visits (flow chart, Kiss 2015)<br><br>&nbsp;</p>",Low risk,<p>none noted</p>,Low risk,"<p>Uses objective measure (blood analysis)</p><p>Open label trial, but this won't affect the blood draw and lab analysis<br>&nbsp;</p>",Low risk,"<p>Protocol and trial registration identified and checked.<br>Data not available in usable form for stratification (sex, ferritin levels), often only displayed graphically</p>",Low risk,<p>see individual comments</p>
1,2,Hb (g/L),Male,2,SUBGROUP_AND_OVERALL,Linpisarn 1986,1986,,,151.9,12.2,,47,151.2,11.6,,51,,,5.334137287229772,0.700000000000017,-4.022350045847417,5.422350045847451,,Some concerns,"<p>Randomisation process not described<br><br>Some baseline blood data, no info on sex, age, etc</p>",High risk,<p>Use of placebo suggests blinding was employed<br><br>analysed only those who completed the study. No info on why others didn't complete (excluded/dropout)</p>,High risk,<p>Large dropout in both groups: 25/72 (35%) and 18/69 (26%). No reasons given.</p>,Low risk,<p>Standard blood tests<br>Blinding of outcome assessors not mentioned</p>,Some concerns,<p>No protocol or trial registration identified<br>&nbsp;</p>,High risk,<p>See individual comments</p>
1,2,Hb (g/L),Male,2,SUBGROUP_AND_OVERALL,Pachikian 2020,2020,,,150.391,7.107,,23,156,9.95,,11,,,3.9150417816553524,-5.609000000000009,-12.167207684056685,0.9492076840566659,,Some concerns,<p>Randomisation process not described.<br><br>Baseline comparison data for iron stores (table 1) show no significant differences between groups. Age and fitness level data in trial registry show no differences</p>,Some concerns,"<p>Described as single blinded, placebo-controlled<br><br>mITT, all those completing each follow up point</p>",Low risk,<p>none noted</p>,Low risk,<p>Standard blood analysis</p>,Low risk,"<p>Trial registration available: ; prespecified analyses. Primary outcome (VO2 peak) only reported for final end point (in trial registration) or graphically, or in comparison to other groups. Not reported as raw data at each timepoint as with other outcomes.<br>&nbsp;</p>",Some concerns,<p>See individual comments</p>
1,2,Hb (g/L),Male,2,SUBGROUP_AND_OVERALL,Rosvik 2010,2010,,,144,8,,71,144,8,,82,,,7.380203595657614,0,-2.54183697480758,2.54183697480758,,Some concerns,"<p>Randomisation process not described<br>Baseline blood data only given by sex, combining iron and no iron groups together.</p>",Some concerns,"<p>No placebo, no blinding. Just no treatment.<br>Analysed everyone who returned for follow up.&nbsp;</p>",High risk,<p>Approx 20% lost per group</p>,Low risk,<p>Standard blood analysis</p>,Some concerns,"<p>Trial registration available, lacks a lot of detail.&nbsp;</p>",High risk,<p>see individual comments</p>
1,2,Hb (g/L),Mixed,3,SUBGROUP_AND_OVERALL,Bucher 1973,1973,,,129,5.519,,81,126,8,,38,,,7.1292741336665095,3,0.18675040289152012,5.81324959710848,,Some concerns,"<p>No information on randomisation process other than ""according to the randomisation plan"" (translated from German)<br><br>Authors state no differences in groups according to age and sex distribution, and report age, Hb, plasma iron, and TIBC at baseline (but not sex per group)</p>",High risk,"<p>Not explicitly stated that participants and personnel were blinded to allocation, but use of placebo, and pre-packaging of tablets suggests they were blinded.<br><br>Authors state that 178 people were randomised, but only 161 people could be analysed. No information on those not analysed. 178 people suggest 44 or 45 people per group, but numbers varied (38, 38, 42, 43) suggesting small imbalance in those not analysed.<br><br>Due to the expectation that people were blinded, likely will not impact outcomes.</p>",High risk,<p>178 participants were included originally but later only 161 were included in the analysis. No mention of why the others were excluded</p>,Low risk,<p>Standard lab measures</p>,Some concerns,<p>No protocol or trial registration identified</p>,High risk,<p>See individual comments</p>
1,3,Ferritin (ng/mL),Female,1,SUBGROUP_AND_OVERALL,Cable 1988,1988,,,23,15.1,,57,14,8,,64,,,13.623006672534066,9,4.61731040984938,13.382689590150619,serum ferritin,Some concerns,"<p>No information on randomisation process.<br>Largely balanced in baseline characteristics (age, weight, previous donations, Hb, Hct, transferrin saturation)</p>",High risk,"<p>Not stated that it was blinded, but use of a placebo suggests it was.<br>per-protocol analysis excluded participants who had poorer compliance<br><br>&nbsp;</p>",Low risk,"<p>Large number of people in both groups withdrew prior to visit 2 (first donation/sampling since commencement of treatment): 121 analysed, 200 randomised<br><br>Withdrawals explained (table 1). Some study exclusions were due to poor compliance which may have been due to side effects, however reasonably balanced between groups. Imbalance with regards to medical withdrawal higher in placebo group.<br><br>&nbsp;</p>",Low risk,<p>Standard blood measures</p>,Low risk,<p>No protocol or trial registration identified<br>&nbsp;</p>,High risk,<p>See individual comments</p>
