Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Stanworth 2022,2022,PUB,25735939,<p>Design: Factorial</p>,<p>Country: UK&nbsp;<br>Setting: Hospital&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 2714</p>,"<p>Number of arms: 4&nbsp;<br>Description of groups: Intervention 1: Standard A&amp;F content (detailed report (approximately 50 pages long), a regional presentation slide set, and (sometimes) action plan templates) and standard support; Intervention 2: Standard A&amp;F content and enhanced support (toolkit that disseminates findings to all relevant clinical staff involved in transfusion decision-making; localised, team-level goal-setting, problem-solving, and action planning to change practice; and continued local monitoring of practice); Intervention 3: Enhanced A&amp;F content (a brief report highlighting comparative performance and recommendations for selected key audit standards (maximum of 6 pages), a longer report covering all audit standards (maximum of 34 pages), and the longer, detailed standard report) and standard support&nbsp;</p>",<p>Clinical behaviour category: Treatment decision/action</p>,
Suffoletto 2020,2020,PUB,25735941,<p>Design: Parallel Cluster-RCT</p>,<p>Country: USA&nbsp;<br>Setting: Emergency rooms&nbsp;<br>N health professionals: 37&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Intervention 1: A&amp;F; Intervention 2: A&amp;F with peer norm info</p>,<p>Clinical behaviour category: Prescribing</p>,
Tangri 2021,2021,PUB,25735943,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Canada&nbsp;<br>Setting: other outpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F, education, detailing</p>",<p>Clinical behaviour category: Referral</p>,
Tinmouth 2021,2021,PUB,25735945,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Canada&nbsp;<br>Setting: other outpatient&nbsp;<br>N health professionals: 33&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F</p>,<p>Clinical behaviour category: Other</p>,
Torrente 2020,2020,PUB,25735947,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Argentina&nbsp;<br>Setting: other outpatient&nbsp;<br>N health professionals: 1811&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Intervention 1: A&amp;F emails x2; Intervention 2: educational emails</p>,<p>Clinical behaviour category: Prescribing</p>,
Van Schie 2022,2022,PUB,25735949,<p>Design: Parallel Cluster-RCT</p>,"<p>Country: Netherlands&nbsp;<br>Setting: Hospital&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 32,923</p>","<p>Number of arms: 2&nbsp;<br>Description of groups: Control: usual care; Intervention: Monthly updated feedback, education to interpret the feedback combined with clear targets for improvement of specific indicators, action implementation toolbox including evidence-based quality improvement initiative for each indicator reported in the feedback; short survey was emailed every 2 months together with the feedback to evaluate adherence to the intervention</p>",<p>Clinical behaviour category: Other</p>,
Van Vugt 2021,2021,PUB,25735951,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Netherlands&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Intervention 1: A&amp;F, education; Intervention 2: A&amp;F, education, patient education</p>",<p>Clinical behaviour category: Testing/exams</p>,
Vaughan 2023,2023,PUB,25735953,<p>Design: Parallel Cluster-RCT</p>,<p>Country: USA&nbsp;<br>Setting: Other&nbsp;<br>N health professionals: 1186&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Intervention 1: In-person A&amp;F (one-to-one (1:1) academic detailing from a professional colleague that included in-person audit, feedback, and peer benchmarking and on-site engagement); Intervention 2: Dashboard A&amp;F (monthly provider feedback via an electronic dashboard with an emailed summary and link to view detailed prescribing audit, feedback, and peer benchmarking)</p>",<p>Clinical behaviour category: Prescribing</p>,
Wallis 2022,2022,PUB,25735955,<p>Design: Parallel Cluster-RCT</p>,"<p>Country: New Zealand&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 21,867</p>","<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F, detailing, patient info</p>",<p>Clinical behaviour category: Prescribing</p>,
Yang 2023,2023,PUB,25735957,<p>Design: Other</p>,<p>Country: China&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 335&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: real-time pop-up warning message, a 10-day antibiotic prescription feedback summary, and distribution of educational manuals</p>",<p>Clinical behaviour category: Prescribing</p>,
