Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Fairbrother 1999,1999,PUB,25735260,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: community care</p><p>Speciality: paediatrics</p><p>N health professionals: 60</p><p>N patients: 3000</p>,<p>Number of arms: 4</p><p>Description of groups: Control: no intervention; Intervention 1: A&amp;F + financial bonus; Intervention 2: A&amp;F + enhanced fee for service; Intervention 3: A&amp;F only</p>,<p>Clinical behaviour category: immunisation</p><p>Format of Audit &amp; Feedback: written</p><p>Source: manual chart review</p><p>Frequency: monthly</p><p>Instructions for improvement: not reported</p>,
Feder 1995a,1995,PUB,25735262,<p>Design: parallel cluster-RCT</p>,<p>Country: UK</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 39</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + education</p>,"<p>Clinical behaviour category: screening, counselling, prescribing, testing/exams</p><p>Format of Audit &amp; Feedback: verbal (interactive)</p><p>Source: manual chart review, computerised search of charts</p><p>Frequency: once</p><p>Instructions for improvement: general</p>",
Feder 1995b,1995,PUB,25735264,<p>Design: parallel cluster-RCT</p>,<p>Country: UK</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 39</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + education</p>,"<p>Clinical behaviour category: screening, testing/exams</p><p>Format of Audit &amp; Feedback: written</p><p>Source: manual chart review, computerised search of charts</p><p>Frequency: once</p><p>Instructions for improvement: general</p>",
Ferguson 2003a,2003,PUB,25735266,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: hospital inpatient</p><p>Speciality: cardiology</p><p>N health professionals: NR</p><p>N patients: 179,625</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: quality champion + call to action letter + education materials + A&amp;F</p>,<p>Clinical behaviour category: testing/exams</p><p>Format of Audit &amp; Feedback: electronic dashboard</p><p>Source: not reported/not applicable</p><p>Frequency: variable</p><p>Instructions for improvement: not reported</p>,
Ferguson 2003b,2003,PUB,25735268,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: hospital inpatient</p><p>Speciality: cardiology</p><p>N health professionals: NR</p><p>N patients: 179,083</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: quality champion + call to action letter + education materials + A&amp;F</p>,<p>Clinical behaviour category: treatment decision/action</p><p>Format of Audit &amp; Feedback: electronic dashboard</p><p>Source: not reported/not applicable</p><p>Frequency: variable</p><p>Instructions for improvement: not reported</p>,
Fiks 2013,2013,PUB,25735270,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: paediatrics</p><p>N health professionals: NR</p><p>N patients: 22,486</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention 1: EHR-based alerts + clinician education +  A&amp;F  +  patient reminders + patient education Intervention 2: EHR-based alerts + clinician education +  A&amp;F; Intervention 3: patient reminders + patient education</p>,<p>Clinical behaviour category: immunisation</p><p>Format of Audit &amp; Feedback: written</p><p>Source: computerised search of charts</p><p>Frequency: quarterly</p><p>Instructions for improvement: general</p>,
Fiks 2017,2017,PUB,25735272,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 105</p><p>N patients: 790</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: education + expert consultations + A&amp;F </p>,<p>Clinical behaviour category: screening</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: bi-monthly</p><p>Instructions for improvement: general</p>,
Filardo 2009,2009,PUB,25735274,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: hospital inpatient</p><p>Speciality: internal medicine</p><p>N health professionals: NR</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: education + A&amp;F</p>,"<p>Clinical behaviour category: prescribing, testing/exams, immunisation</p><p>Format of Audit &amp; Feedback: verbal (didactic)</p><p>Source: computerised search of charts</p><p>Frequency: not reported/not applicable</p><p>Instructions for improvement: co-developed plans</p>",
Finkelstein 2001,2001,PUB,25735276,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: multi-speciality clinics within two managed care organisations</p><p>Speciality: GP/family</p><p>N health professionals: 157</p><p>N patients: 8815</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + education + academic detailing</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: administrative/billing data</p><p>Frequency: once</p><p>Instructions for improvement: general</p>,
Foster 2007,2007,PUB,25735278,<p>Design: parallel cluster-RCT</p>,<p>Country: UK</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: NR</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Control: educational workshop + practice development plan  + educational materials; Intervention: educational workshop + practice development plan + A&amp;F + educational materials</p>,"<p>Clinical behaviour category: testing/exams</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review, computerised search of charts</p><p>Frequency: semi-annually</p><p>Instructions for improvement: co-developed plans</p>",
Foy 2004,2004,PUB,25735280,<p>Design: parallel cluster-RCT</p>,<p>Country: UK</p><p>Setting: obstetrics and gynaecology clinic or ward</p><p>Speciality: gynaecology</p><p>N health professionals: NR</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Control: guidelines; Intervention: A&amp;F + guidelines  + education meetings + education materials</p>,"<p>Clinical behaviour category: screening, prescribing, counselling, referrals</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: once</p><p>Instructions for improvement: co-developed plans</p>",
Fretheim 2006,2006,PUB,25735282,<p>Design: parallel cluster-RCT</p>,<p>Country: Norway</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 501</p><p>N patients: 3052</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: educational outreach visit + computerised reminders + guidelines + A&amp;F</p>,"<p>Clinical behaviour category: screening, prescribing</p><p>Format of Audit &amp; Feedback: verbal (didactic)</p><p>Source: computerised search of charts</p><p>Frequency: once</p><p>Instructions for improvement: general</p>",
Frijling 2002,2002,PUB,25735284,<p>Design: parallel cluster-RCT</p>,<p>Country: Netherlands</p><p>Setting: primary care</p><p>Speciality: GP/family physician</p><p>N health professionals: 185</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of Groups: Control: no intervention; Intervention: A&amp;F + education materials + facilitator support</p>,"<p>Clinical behaviour category: testing/exams, prescribing, counselling, referrals</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: 1.4 months</p><p>Instructions for improvement: co-developed plans</p>",
Frijling 2003,2003,PUB,25735286,<p>Design: parallel cluster-RCT</p>,<p>Country: Netherlands</p><p>Setting: primary care</p><p>Speciality: GP/family physician</p><p>N health professionals: 185</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of Groups: Control: no intervention; Intervention: A&amp;F + facilitator support</p>,"<p>Clinical behaviour category: screening, prescribing, counselling, referrals</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: 7 months</p><p>Instructions for improvement: co-developed plans</p>",
Fuller 2012,2012,PUB,25735288,<p>Design: step wedge</p>,<p>Country: UK</p><p>Setting: hospital inpatient</p><p>Speciality: GP/family/internal medicine</p><p>N health professionals: NR</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F</p>,<p>Clinical behaviour category: other</p><p>Format of Audit &amp; Feedback: verbal (interactive)</p><p>Source: other</p><p>Frequency: bi-monthly</p><p>Instructions for improvement: specific</p>,
Ganz 2005,2005,PUB,25735290,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: provider organisations (PO) within a managed healthcare plan</p><p>Speciality: GP/family/other</p><p>N health professionals: NR</p><p>N patients: 1850</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: workshop + educational materials + QI program + A&amp;F</p>,<p>Clinical behaviour category: testing/exams</p><p>Format of Audit &amp; Feedback: not reported/not applicable</p><p>Source: manual chart review</p><p>Frequency: monthly</p><p>Instructions for improvement: general</p>,
Geary 2019,2019,PUB,25735292,<p>Design: parallel cluster-RCT</p>,"<p>Country: Sweden</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: NR</p><p>N patients: 12,766</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F report + guidelines</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: written</p><p>Source: administrative/billing data</p><p>Frequency: monthly</p><p>Instructions for improvement: general</p>,
Gerber 2014,2014,PUB,25735294,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 162</p><p>N patients: 185,212</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: clinician education + A&amp;F </p>,"<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review, computerised search of charts</p><p>Frequency: tri-annually</p><p>Instructions for improvement: specific</p>",
Gilkey 2014,2014,PUB,25735296,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: NA</p><p>N health professionals: 91</p><p>N patients: NR</p>,<p>Number of arms: 3</p><p>Description of groups: Control: no intervention; Intervention 1: A&amp;F + in-person training + goal setting; Intervention 2: A&amp;F + virtual training + goal setting</p>,<p>Clinical behaviour category: immunisation</p><p>Format of Audit &amp; Feedback: verbal (interactive)</p><p>Source: computerised search of charts</p><p>Frequency: monthly</p><p>Instructions for improvement: co-developed plans</p>,
Gilkey 2019,2019,PUB,25735298,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: paediatrics</p><p>N health professionals: 77</p><p>N patients: 22,983</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: training session + video vignettes + A&amp;F  + educational materials </p>,<p>Clinical behaviour category: immunisation</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: computerised search of charts</p><p>Frequency: quarterly</p><p>Instructions for improvement: co-developed plans</p>,
Gjelstad 2013,2013,PUB,25735300,<p>Design: parallel cluster-RCT</p>,<p>Country: Norway</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 489</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1 (antibiotic prescribing): academic detailing + education + A&amp;F; Intervention 2 (appropriate prescribing): academic detailing + education + A&amp;F </p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: computerised search of charts</p><p>Frequency: once/monthly</p><p>Instructions for improvement: general</p>,
Goderis 2010,2010,PUB,25735302,<p>Design: parallel cluster-RCT</p>,<p>Country: Belgium</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 142</p><p>N patients: 2495</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1: treatment protocol + A&amp;F + education + case-coaching; Intervention 2: treatment protocol + A&amp;F + education + case-coaching + intensified follow-up with GPs + shared-care protocol</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: written</p><p>Source: manual chart review</p><p>Frequency: twice/quarterly</p><p>Instructions for improvement: specific</p>,
Goff 2003,2003,PUB,25735304,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 605</p><p>N patients: 3224</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + educational materials (recommendations) + patient chart reminders</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: written</p><p>Source: administrative/billing data</p><p>Frequency: annually</p><p>Instructions for improvement: general</p>,
Goldberg 1998,1998,PUB,25735306,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 95</p><p>N patients: 4995</p>,<p>Number of arms: 3</p><p>Description of groups: Control: no intervention; Intervention 1: A&amp;F + academic detailing; Intervention 2: audit &amp; feedback + academic detailing + continuous quality improvement (education and resources)</p>,"<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: computerised search of charts, patient-reported data</p><p>Frequency: not reported/not applicable</p><p>Instructions for improvement: general</p>",
Gonzales 2013,2013,PUB,25735308,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 155</p><p>N patients: 12,776</p>",<p>Number of arms: 3</p><p>Description of groups: Control: no intervention; Intervention 1: A&amp;F + education + printed decision support; Intervention 2: A&amp;F + education + computerised decision support</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: verbal (interactive)</p><p>Source: administrative/billing data</p><p>Frequency: monthly</p><p>Instructions for improvement: specific</p>,
Grady 1997,1997,PUB,25735310,<p>Design: parallel cluster-RCT</p>,"<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: 95</p><p>N patients: 11,426</p>",<p>Number of arms: 3</p><p>Description of groups: Control 1: clinician education + educational materials; Control 2: educational materials + posters + chart stickers; Intervention: educational materials + posters + chart stickers + A&amp;F + financial incentive</p>,<p>Clinical behaviour category: referrals</p><p>Format of Audit &amp; Feedback: written</p><p>Source: manual chart review</p><p>Frequency: variable</p><p>Instructions for improvement: general</p>,
