Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Cararach 1994,1994,PUB,26535577,<p>Ineligible intervention</p>
Cararach 1996,1996,PUB,26535579,<p>Ineligible intervention</p>
Carbone 2013,2013,PUB,26535582,<p>Cannot separate term and preterm labour data</p>
Carbonell 2006,2006,PUB,26535585,<p>Unclear gestational age</p>
Cardozo 1986,1986,PUB,26535587,<p>Not a randomised controlled trial</p>
Carlan 2002,2002,PUB,26535591,<p>Cannot separate term and preterm labour data</p>
Casey 1995,1995,PUB,26535593,<p>Ineligible intervention</p>
Cecatti 2006,2006,PUB,26535595,<p>Comparison between the same type of induction of labour method</p>
Chakravarti 2000,2000,PUB,26535598,<p>Method of induction of labour vs expectant management at different gestational age</p>
Chandran 2018,2018,PUB,26535600,<p>Cannot separate term and preterm labour data</p>
Chanrachakul 2003,2003,PUB,26535602,<p>Method of induction of labour vs expectant management at different gestational age</p>
Chatterjee 1991,1991,PUB,26535604,<p>Unclear gestational age</p>
Chau 2016,2016,PUB,26535606,<p>Not a randomised controlled trial</p>
Chavakula 2015,2015,PUB,26535608,<p>Cannot separate term and preterm labour data</p>
Chen 2000,2000,PUB,26535611,<p>Not a randomised controlled trial</p>
Chen 2004,2004,PUB,26535613,<p>Cannot separate term and preterm labour data</p>
Chen 2014,2014,PUB,26535615,<p>Cannot separate term and preterm labour data</p>
Cheng 2008,2008,PUB,26535617,<p>Cannot separate term and preterm labour data</p>
Christensen 2001,2001,PUB,26535620,<p>Ineligible intervention</p>
Chua 1988,1988,PUB,26535622,<p>Not a randomised controlled trial</p>
Chua 1991,1991,PUB,26535624,<p>Cannot separate term and preterm labour data</p>
Chua 1995,1995,PUB,26535626,<p>Cannot separate term and preterm labour data</p>
Chung 2003,2003,PUB,26535628,<p>Cannot separate term and preterm labour data</p>
Clark 1998,1998,PUB,26535631,<p>Ineligible intervention</p>
Cole 1975,1975,PUB,26535633,<p>Method of induction of labour vs expectant management at different gestational age</p>
Colon 2004,2004,PUB,26535635,<p>Ineligible intervention</p>
Conde 2017,2017,PUB,26535637,<p>Cannot separate term and preterm labour data</p>
Conway 2000,2000,PUB,26535640,<p>Method of induction of labour vs expectant management at different gestational age</p>
Coste Mazeau 2020,2020,PUB,26535642,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Crane 2002,2002,PUB,26535645,<p>Ineligible intervention</p>
Cromi 2011,2011,PUB,26535647,<p>Cannot separate term and preterm labour data</p>
Cromi 2012,2012,PUB,26535649,<p>Cannot separate term and preterm labour data</p>
Cross 1978,1978,PUB,26535652,<p>Not a randomised controlled trial</p>
CTRI/2013/07/003808,2013,PUB,26535654,<p>Ineligible intervention</p>
CTRI/2018/09/015719,2018,PUB,26535656,<p>Method of induction of labour vs expectant management at different gestational age</p>
CTRI/2019/04/018827,2019,PUB,26535658,<p>Ineligible intervention</p>
CTRI/2020/01/022815,2020,PUB,26535660,<p>Comparison between the same type of induction of labour method</p>
CTRI/2020/04/024809,2020,PUB,26535662,<p>Ineligible intervention</p>
CTRI/2021/04/033187,2021,PUB,26535664,<p>Comparison between the same type of induction of labour method</p>
CTRI/2021/12/038541,2021,PUB,26535666,<p>Comparison between the same type of induction of labour method</p>
CTRI/2022/04/041595,2022,PUB,26535668,<p>Ineligible intervention</p>
CTRI/2022/06/043028,2022,PUB,26535670,<p>Method of induction of labour vs expectant management at different gestational age</p>
Culver 2004,2004,PUB,26535672,<p>Cannot separate term and preterm labour data</p>
Curet 1989,1989,PUB,26535675,<p>Unclear gestational age</p>
Danesh-Shaharaki 2018,2018,PUB,26535677,<p>Not a randomised controlled trial</p>
Danna 1995,1995,PUB,26535679,<p>Dose comparison trial</p>
De 2006,2006,PUB,26535681,<p>Ineligible intervention</p>
de Aquino 2003,2003,PUB,26535683,<p>Cannot separate term and preterm labour data</p>
Delaney 2001,2001,PUB,26535686,<p>Randomised controlled trial looking at a second line of induction of labour</p>
de la Torre 2001,2001,PUB,26535688,<p>Unclear gestational age</p>
Deng 1999,1999,PUB,26535690,<p>Unclear gestational age</p>
Deo 2012,2012,PUB,26535692,<p>Cannot separate term and preterm labour data</p>
Deshmukh 2013,2013,PUB,26535694,<p>Cannot separate term and preterm labour data</p>
de Vaan 2021,2021,PUB,26535696,<p>Not a randomised controlled trial</p>
Ding 2005,2005,PUB,26535699,<p>Not a randomised controlled trial</p>
Dodd 2006a,2006,PUB,26535701,<p>Ineligible intervention</p>
Dommisse 1980,1980,PUB,26535703,<p>Unclear gestational age</p>
Du 2015,2015,PUB,26535705,<p>Not a randomised controlled trial</p>
Duff 1984,1984,PUB,26535707,<p>Not a randomised controlled trial</p>
Dunston-Boone 1991,1991,PUB,26535709,<p>Not a randomised controlled trial</p>
Dyar 2000,2000,PUB,26535711,<p>Ineligible intervention</p>
Dyson 1986,1986,PUB,26535713,<p>Method of induction of labour vs expectant management at different gestational age</p>
Echeverria 1995,1995,PUB,26535715,<p>Not a randomised controlled trial</p>
Edwards 2014,2014,PUB,26535717,<p>Cannot separate term and preterm labour data</p>
Egarter 1987,1987,PUB,26535723,<p>Cannot separate term and preterm labour data</p>
Egarter 1989,1989,PUB,26535725,<p>Method of induction of labour vs expectant management at different gestational age</p>
Ekerhovd 2003,2003,PUB,26535727,<p>Ineligible study setting – performing induction of labour before elective caesarean section</p>
Ekman-Ordeberg 1985,1985,PUB,26535729,<p>Cannot separate term and preterm labour data</p>
El Khouly 2017,2017,PUB,26535731,<p>Cannot separate term and preterm labour data</p>
El Sharkwy 2019,2019,PUB,26535734,<p>Induction of labour among preterm labour</p>
Escudero 1997,1997,PUB,26535736,<p>Unclear gestational age</p>
EUCTR2011-000563-28-IT,2011,PUB,26535738,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Ezechi 2008,2008,PUB,26535740,<p>Cannot separate term and preterm labour data</p>
Farquharson 1993,1993,PUB,26535742,<p>Ineligible intervention</p>
Fayez 1978,1978,PUB,26535744,<p>Not a randomised controlled trial</p>
Ferguson 2002,2002,PUB,26535746,<p>Unclear gestational age</p>
Ferraiolo 2010,2010,PUB,26535748,<p>Not a randomised controlled trial</p>
Firouzabadi 2011,2011,PUB,26535750,<p>Unclear gestational age</p>
Fisher 2001,2001,PUB,26535752,<p>Cannot separate term and preterm labour data</p>
Fletcher 1993,1993,PUB,26535755,<p>Unclear gestational age</p>
Fletcher 1994,1994,PUB,26535757,<p>Unclear gestational age</p>
Fonseca 2008,2008,PUB,26535759,<p>Cannot separate term and preterm labour data</p>
Frass 2011,2011,PUB,26535763,<p>Cannot separate term and preterm labour data</p>
Frohn 2002,2002,PUB,26535765,<p>Cannot separate term and preterm labour data</p>
Galidevara 2018,2018,PUB,26535767,<p>Cannot separate term and preterm labour data</p>
Garcia 1988,1988,PUB,26535769,<p>Ineligible intervention</p>
Garry 2003,2003,PUB,26535771,<p>Unclear gestational age</p>
Gaudineau 2021,2021,PUB,26535773,<p>Cannot separate term and preterm labour data</p>
Gauger 1991,1991,PUB,26535778,<p>Unclear gestational age</p>
Gee 2021,2021,PUB,26535780,<p>Ineligible intervention</p>
Gelisen 2005,2005,PUB,26535783,<p>Method of induction of labour vs expectant management at different gestational age</p>
Ghanaie 2013a,2013,PUB,26535785,<p>Ineligible intervention</p>
Gherman 2001,2001,PUB,26535787,<p>Cannot separate term and preterm labour data</p>
Gilson 1996,1996,PUB,26535790,<p>Cannot separate term and preterm labour data</p>
Girija 2011,2011,PUB,26535792,<p>Ineligible intervention</p>
Gloeb 1989,1989,PUB,26535795,<p>Ineligible intervention</p>
Gomez 2021,2021,PUB,26535797,<p>Comparison between the same type of induction of labour method</p>
Gomez 2022,2022,PUB,26535802,<p>Ineligible intervention</p>
Gonen 1997,1997,PUB,26535804,<p>Ineligible intervention</p>
Gottschall 1997,1997,PUB,26535806,<p>Unclear gestational age</p>
Gowenlock 1975,1975,PUB,26535809,<p>Cannot separate term and preterm labour data</p>
Gower 1982,1982,PUB,26535811,<p>Unclear gestational age</p>
Greer 1986,1986,PUB,26535813,<p>Dose comparison trial</p>
Greer 1988,1988,PUB,26535815,<p>Ineligible intervention</p>
Greybush 2001,2001,PUB,26535817,<p>Unclear gestational age</p>
Griffith-Jones 1990,1990,PUB,26535820,<p>Cannot separate term and preterm labour data</p>
Grobman 2018,2018,PUB,26535822,<p>Method of induction of labour vs expectant management at different gestational age</p>
Guinn 2000,2000,PUB,26535833,<p>Unclear gestational age</p>
Gungorduk 2012,2012,PUB,26535836,<p>Ineligible intervention</p>
Gupta 2006,2006,PUB,26535838,<p>Ineligible intervention</p>
Gupta 2022a,2022,PUB,26535840,<p>Publication of an Erratum</p>
Haghighi 2006,2006,PUB,26535842,<p>Induction of labour among preterm labour</p>
Hamdy 2020,2020,PUB,26535844,<p>Ineligible intervention</p>
Hauth 1977,1977,PUB,26535847,<p>Ineligible intervention</p>
Heden 1991,1991,PUB,26535849,<p>Method of induction of labour vs expectant management at different gestational age</p>
Helal 2004,2004,PUB,26535851,<p>Unclear gestational age</p>
Herabutya 1992,1992,PUB,26535853,<p>Ineligible intervention</p>
Hill 2018,2018,PUB,26535855,<p>Cannot separate term and preterm labour data</p>
Ho 2010,2010,PUB,26535858,<p>Cannot separate term and preterm labour data</p>
Hodnett 1997,1997,PUB,26535860,<p>Not a randomised controlled trial</p>
Hoffmann 1999,1999,PUB,26535862,<p>Ineligible intervention</p>
Hofmeyr 2001,2001,PUB,26535864,<p>Cannot separate term and preterm labour data</p>
Hokkila 2019,2019,PUB,26535868,<p>Ineligible intervention</p>
How 2001,2001,PUB,26535872,<p>Cannot separate term and preterm labour data</p>
Howarth 1996,1996,PUB,26535875,<p>Unclear gestational age</p>
Hughes 2002,2002,PUB,26535877,<p>Cannot separate term and preterm labour data</p>
Husain 2017,2017,PUB,26535879,<p>Retracted article</p>
Hussein 2012,2012,PUB,26535882,<p>Induction of labour among preterm labour</p>
Husslein 1986,1986,PUB,26535884,<p>Unclear gestational age</p>
Idrisa 2007,2007,PUB,26535886,<p>Not a randomised controlled trial</p>
IRCT2015040721506N2,2015,PUB,26535888,<p>Ineligible intervention</p>
IRCT201702282624N22,2017,PUB,26535890,<p>Not a randomised controlled trial</p>
IRCT20180121038465N1,2018,PUB,26535892,<p>Comparison between the same type of induction of labour method</p>
ISRCTN15646866,2017,PUB,26535894,<p>Method of induction of labour vs expectant management at different gestational age</p>
ISRCTN39708525,2007,PUB,26535896,<p>Terminated/withdrawal trial</p>
ISRCTN71488751,2007,PUB,26535898,<p>Ineligible intervention</p>
ISRCTN83219789,2017,PUB,26535900,<p>Method of induction of labour vs expectant management at different gestational age</p>
Jagani 1984,1984,PUB,26535902,<p>Unclear gestational age</p>
Jeeva 1982,1982,PUB,26535904,<p>Unclear gestational age</p>
Jigyasa 2011,2011,PUB,26535906,<p>Ineligible intervention</p>
Jindal 2017,2017,PUB,26535908,<p>Method of induction of labour vs expectant management at different gestational age</p>
Joo 2000,2000,PUB,26535911,<p>Unclear gestational age</p>
Kehl 2011,2011,PUB,26535913,<p>Ineligible intervention</p>
Kehl 2012,2012,PUB,26535917,<p>Ineligible intervention</p>
Keirse 1982,1982,PUB,26535919,<p>Ineligible intervention</p>
Kortekaas 2018,2018,PUB,26535921,<p>Method of induction of labour vs expectant management at different gestational age</p>
Kramer 1997,1997,PUB,26535924,<p>Unclear gestational age</p>
Krammer 1993,1993,PUB,26535927,<p>Ineligible intervention</p>
Kristoffersen 1986,1986,PUB,26535929,<p>Ineligible intervention</p>
Kruit 2016,2016,PUB,26535931,<p>Ineligible intervention</p>
Laddad 2013,2013,PUB,26535933,<p>Ineligible intervention</p>
Lamki 1974,1974,PUB,26535935,<p>Ineligible intervention</p>
Lange 1981,1981,PUB,26535937,<p>Unclear gestational age</p>
Lange 1994,1994,PUB,26535939,<p>Ineligible intervention</p>
Lanka 2014,2014,PUB,26535941,<p>Cannot separate term and preterm labour data</p>
Lata 2022,2022,PUB,26535944,<p>Not a randomised controlled trial</p>
Lauterbach 2022,2022,PUB,26535946,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Legarth 1987,1987,PUB,26535948,<p>Unclear gestational age</p>
Leijon 1980,1980,PUB,26535950,<p>Ineligible intervention</p>
le Roux 2002,2002,PUB,26535952,<p>Cannot separate term and preterm labour data</p>
Leszczynska-Gorzelak 1999,1999,PUB,26535954,<p>Not a randomised controlled trial</p>
Leszczynska-Gorzelak 2001,2001,PUB,26535956,<p>Not a randomised controlled trial</p>
Lewis 1983,1983,PUB,26535958,<p>Unclear gestational age</p>
Li 2000,2000,PUB,26535960,<p>Unclear gestational age</p>
Lin 1995,1995,PUB,26535962,<p>Cannot separate term and preterm labour data</p>
Lo 1994,1994,PUB,26535964,<p>Not a randomised controlled trial</p>
Lo 2001,2001,PUB,26535966,<p>Ineligible intervention</p>
Lo 2001a,2001,PUB,26535968,<p>Ineligible intervention</p>
Lokkegaard 2015,2015,PUB,26535970,<p>Cannot separate term and preterm labour data</p>
Lokugamage 2003,2003,PUB,26535973,<p>Cannot separate term and preterm labour data</p>
Lopes 1991,1991,PUB,26535975,<p>Ineligible intervention</p>
Loria-Casanova 1989,1989,PUB,26535977,<p>Induction of labour among preterm labour</p>
Lucas 1986,1986,PUB,26535979,<p>Ineligible intervention</p>
Lyndrup 1989,1989,PUB,26535981,<p>Ineligible intervention</p>
Lyndrup 1990,1990,PUB,26535984,<p>Ineligible intervention</p>
Lyndrup 1994,1994,PUB,26535987,<p>Cannot separate term and preterm labour data</p>
Lyons 2001,2001,PUB,26535989,<p>Ineligible intervention</p>
Macer 1984,1984,PUB,26535991,<p>Unclear gestational age</p>
Mackeen 2018,2018,PUB,26535993,<p>Cannot separate term and preterm labour data</p>
MacKenzie 1977,1977,PUB,26535999,<p>Cannot separate term and preterm labour data</p>
MacKenzie 1981,1981,PUB,26536001,<p>Not a randomised controlled trial</p>
MacLennan 1989,1989,PUB,26536003,<p>Unclear gestational age</p>
Macones 2012,2012,PUB,26536006,<p>Comparison between the same type of induction of labour method</p>
Madaan 2014,2014,PUB,26536008,<p>Ineligible intervention</p>
Magos 1983,1983,PUB,26536010,<p>Not a randomised controlled trial</p>
Magtibay 1996,1996,PUB,26536012,<p>Ineligible intervention</p>
Mahacakri 2017,2017,PUB,26536014,<p>Ineligible intervention</p>
Mahendru 2011,2011,PUB,26536016,<p>Ineligible intervention</p>
Mahmood 1988,1988,PUB,26536018,<p>Comparison between the same type of induction of labour method</p>
Mahmood 1989,1989,PUB,26536020,<p>Unclear gestational age</p>
Martin 1978,1978,PUB,26536022,<p>Method of induction of labour vs expectant management at different gestational age</p>
Martin 1989,1989,PUB,26536024,<p>Not a randomised controlled trial</p>
Matonhodze 2003,2003,PUB,26536026,<p>Cannot separate term and preterm labour data</p>
Mazhar 2003,2003,PUB,26536028,<p>Ineligible intervention</p>
McCaul 1997,1997,PUB,26536030,<p>Cannot separate term and preterm labour data</p>
Medearis 1990,1990,PUB,26536033,<p>Ineligible intervention</p>
Meetei 2015,2015,PUB,26536035,<p>Cannot separate term and preterm labour data</p>
Megalo 1998,1998,PUB,26536037,<p>Ineligible intervention</p>
Megalo 1999,1999,PUB,26536039,<p>Cannot separate term and preterm labour data</p>
Mehrotra 2010,2010,PUB,26536041,<p>Not a randomised controlled trial</p>
Mei-Dan 2009,2009,PUB,26536043,<p>Comparison between the same type of induction of labour method</p>
Melchior 1989,1989,PUB,26536045,<p>Cannot separate term and preterm labour data</p>
Milchev 2003,2003,PUB,26536047,<p>Unclear gestational age</p>
Miller 1975,1975,PUB,26536049,<p>Ineligible intervention</p>
Miller 2015,2015,PUB,26536051,<p>Method of induction of labour vs expectant management at different gestational age</p>
Miller 2017,2017,PUB,26536054,<p>Not a randomised controlled trial</p>
Mirteimouri 2020,2020,PUB,26536056,<p>Ineligible intervention</p>
Moghtadei 2008,2008,PUB,26536058,<p>Ineligible intervention</p>
Mohamed 2019,2019,PUB,26536061,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Mohammad-Yari 2012,2012,PUB,26536064,<p>Unclear gestational age</p>
Mokgokong 1974,1974,PUB,26536067,<p>Not a randomised controlled trial</p>
Mokhtarpour 2023,2023,PUB,26536069,<p>Cannot separate term and preterm labour data</p>
Moldin 1996,1996,PUB,26536073,<p>Cannot separate term and preterm labour data</p>
Molina 2000,2000,PUB,26536075,<p>Not a randomised controlled trial</p>
Montealegre 1999,1999,PUB,26536077,<p>Unclear gestational age</p>
Moodley 2003,2003,PUB,26536079,<p>Cannot separate term and preterm labour data</p>
Morales 1986,1986,PUB,26536082,<p>Not a randomised controlled trial</p>
Mukhopadhyay 2002,2002,PUB,26536084,<p>Unclear gestational age</p>
Mullin 2002,2002,PUB,26536086,<p>Cannot separate term and preterm labour data</p>
Murray 1995,1995,PUB,26536089,<p>Comparison between the same type of induction of labour method</p>
Nasir 2012,2012,PUB,26536091,<p>Not a randomised controlled trial</p>
NCT00290199,2006,PUB,26536093,<p>Terminated/withdrawal trial</p>
NCT00383942,2006,PUB,26536095,<p>Terminated/withdrawal trial</p>
NCT00514618,2007,PUB,26536097,<p>Terminated/withdrawal trial</p>
NCT00684606,2008,PUB,26536099,<p>Terminated/withdrawal trial</p>
NCT00890630,2009,PUB,26536101,<p>Terminated/withdrawal trial</p>
NCT01070472,2010,PUB,26536103,<p>Not a randomised controlled trial</p>
NCT01519765,2012,PUB,26536105,<p>Terminated/withdrawal trial</p>
NCT01641601,2012,PUB,26536107,<p>Terminated/withdrawal trial</p>
NCT02098421,2014,PUB,26536109,<p>Cannot separate term and preterm labour data</p>
NCT02223949,2014,PUB,26536111,<p>Terminated/withdrawal trial</p>
NCT02684305,2016,PUB,26536113,<p>Randomised controlled trial looking at a second line of induction of labour</p>
NCT02777190,2016,PUB,26536115,<p>Terminated/withdrawal trial</p>
NCT02801227,2016,PUB,26536117,<p>Terminated/withdrawal trial</p>
NCT02815865,2016,PUB,26536119,<p>Terminated/withdrawal trial</p>
NCT02932319,2016,PUB,26536121,<p>Terminated/withdrawal trial</p>
NCT02952807,2016,PUB,26536123,<p>Ineligible intervention</p>
NCT02956785,2016,PUB,26536125,<p>Terminated/withdrawal trial</p>
NCT02993432,2016,PUB,26536127,<p>Ineligible intervention</p>
NCT03320187,2017,PUB,26536129,<p>Ineligible intervention</p>
NCT03435458,2018,PUB,26536131,<p>Terminated/withdrawal trial</p>
NCT03625518,2018,PUB,26536133,<p>Terminated/withdrawal trial</p>
NCT03854383,2019,PUB,26536135,<p>Ineligible intervention</p>
NCT03928600,2019,PUB,26536137,<p>Ineligible intervention</p>
NCT04597333,2020,PUB,26536139,<p>Randomised controlled trial looking at a second line of induction of labour</p>
NCT04603859,2020,PUB,26536141,<p>Ineligible intervention</p>
NCT04739683,2021,PUB,26536143,<p>Terminated/withdrawal trial</p>
NCT04949633,2021,PUB,26536145,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Newman 1997,1997,PUB,26536147,<p>Method of induction of labour vs expectant management at different gestational age</p>
Ngai 1995,1995,PUB,26536149,<p>Ineligible intervention</p>
Ngai 1998,1998,PUB,26536151,<p>Ineligible intervention</p>
NICHHD 1994,1994,PUB,26536153,<p>Ineligible intervention</p>
Nikolov 2003,2003,PUB,26536155,<p>Not a randomised controlled trial</p>
Niroomanesh 2011,2011,PUB,26536157,<p>Cannot separate term and preterm labour data</p>
Norchi 1993,1993,PUB,26536159,<p>Dose comparison trial</p>
Nuutila 1997,1997,PUB,26536162,<p>Cannot separate term and preterm labour data</p>
Odum 1993,1993,PUB,26536164,<p>Unclear gestational age</p>
Ohel 1996,1996,PUB,26536166,<p>Not a randomised controlled trial</p>
Omondi 2021,2021,PUB,26536168,<p>Cannot separate term and preterm labour data</p>
Ophir 1992,1992,PUB,26536170,<p>Cannot separate term and preterm labour data</p>
Orhue 1995,1995,PUB,26536172,<p>Ineligible intervention</p>
Osoti 2018,2018,PUB,26536174,<p>Cannot separate term and preterm labour data</p>
Owen 1991,1991,PUB,26536176,<p>Ineligible intervention</p>
Owolabi 2005,2005,PUB,26536178,<p>Unclear gestational age</p>
Pandey 2014,2014,PUB,26536180,<p>Unclear gestational age</p>
Parikh 2001,2001,PUB,26536182,<p>Ineligible intervention</p>
Patterson 1971,1971,PUB,26536184,<p>Unclear gestational age</p>
Pennell 2009,2009,PUB,26536186,<p>Cannot separate term and preterm labour data</p>
Perche 2009,2009,PUB,26536191,<p>Ineligible intervention</p>
Perez Picanol 1992,1992,PUB,26536193,<p>Ineligible intervention</p>
Perryman 1992,1992,PUB,26536195,<p>Unclear gestational age</p>
Pettker 2008,2008,PUB,26536198,<p>Cannot separate term and preterm labour data</p>
Pollnow 1996,1996,PUB,26536202,<p>Unclear gestational age</p>
Pongsatha 2005,2005,PUB,26536204,<p>Cannot separate term and preterm labour data</p>
Porojanova 2005,2005,PUB,26536206,<p>Not a randomised controlled trial</p>
Pourali 2019,,PUB,26536208,<p>Publication of an Erratum</p>
Pranuthi 2011,2011,PUB,26536210,<p>Not a randomised controlled trial</p>
Prins 1983,1983,PUB,26536212,<p>Unclear gestational age</p>
Puga 2001,2001,PUB,26536214,<p>Ineligible intervention</p>
Rabl 2002,2002,PUB,26536216,<p>Cannot separate term and preterm labour data</p>
Ramsey 2003,2003,PUB,26536218,<p>Unclear gestational age</p>
Rangarajan 1971,1971,PUB,26536224,<p>Ineligible intervention</p>
Rasheed 2007,2007,PUB,26536226,<p>Not a randomised controlled trial</p>
Rijal 2012,2012,PUB,26536228,<p>Not a randomised controlled trial</p>
Roberts 1970,1970,PUB,26536230,<p>Ineligible intervention</p>
Roberts 1986,1986,PUB,26536232,<p>Unclear gestational age</p>
Rouzi 2014,2014,PUB,26536234,<p>Ineligible intervention</p>
Rouzi 2017,2017,PUB,26536237,<p>Dose comparison trial</p>
Rowlands 2001,2001,PUB,26536239,<p>Ineligible intervention</p>
Roy 2015,2015,PUB,26536241,<p>Not a randomised controlled trial</p>
Rozenberg 2001,2001,PUB,26536243,<p>Unclear gestational age</p>
Rudra 2012,2012,PUB,26536245,<p>Randomised controlled trial looking at a second line of induction of labour</p>
Rugarn 2017,2017,PUB,26536247,<p>Cannot separate term and preterm labour data</p>
Rust 2001,2001,PUB,26536249,<p>Cannot separate term and preterm labour data</p>
Rydhstrom 1991,1991,PUB,26536252,<p>Cannot separate term and preterm labour data</p>
Rymer 1992,1992,PUB,26536254,<p>Cannot separate term and preterm labour data</p>
Sabra 2000,2000,PUB,26536256,<p>Not a randomised controlled trial</p>
Saggaf 2001,2001,PUB,26536258,<p>Unclear gestational age</p>
Sahin 2002,2002,PUB,26536260,<p>Cannot separate term and preterm labour data</p>
Sahu 2004,2004,PUB,26536262,<p>Ineligible intervention</p>
Saint Louis 2020,2020,PUB,26536264,<p>Terminated/withdrawal trial</p>
Saito 1999,1999,PUB,26536266,<p>Not a randomised controlled trial</p>
Saleh 1975,1975,PUB,26536268,<p>Unclear gestational age</p>
Samanta 2023,2023,PUB,26536270,<p>Cannot separate term and preterm labour data</p>
Sanchez-Ramos 1990,1990,PUB,26536273,<p>Ineligible intervention</p>
Sanchez-Ramos 1993,1993,PUB,26536275,<p>Unclear gestational age</p>
Sanchez-Ramos 1996,1996,PUB,26536278,<p>Dose comparison trial</p>
Sanchez-Ramos 1997,1997,PUB,26536280,<p>Cannot separate term and preterm labour data</p>
Sanchez-Ramos 1998,1998,PUB,26536283,<p>Unclear gestational age</p>
Sande 1983,1983,PUB,26536285,<p>Method of induction of labour vs expectant management at different gestational age</p>
Santonja 1989,1989,PUB,26536287,<p>Ineligible intervention</p>
Sanu 2015,2015,PUB,26536289,<p>Personal communication</p>
Sargunam 2019,2019,PUB,26536291,<p>Ineligible intervention</p>
