Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Elhassan 2005,2005,PUB,26536644,<p>2-arm active-controlled randomised trial</p>,"<p>140 women</p><p>Inclusion criteria: women with single live babies, with a favourable cervix (Bishop Score &gt; 5) and intact membranes.<br>Exclusion criteria: uterine surgery, antepartum haemorrhage, asthma, heart disease, and grand multiparity (&gt; 7 pregnancies)</p>",<p>50 µg vaginal misoprostol Vs Oxytocin</p>,"<p>Caesarean section, time from induction to delivery, and mode of delivery.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Elhassan 2007,2007,PUB,26536646,<p>3-arm active-controlled randomised trial</p>,"<p>150 women</p><p>Inclusion criteria: women with a singleton pregnancy and a live fetus but an unfavourable cervix (Bishop score &lt; 5), making induction of labour necessary.</p><p>Exclusion criteria: uterine scar, asthma, heart disease, and grandmultiparity (parity &gt; 6).</p>",<p>50 µg Sublingual misoprostol Vs 50 µg oral misoprostol Vs 50 µg vaginal misoprostol</p>,"<p>Mode of delivery, time from induction to delivery, and birth weight.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
el-Mardi 1991,1991,PUB,26536648,<p>2-arm active-controlled randomised trial</p>,"<p>200 women</p><p>Eligibility criteria: women between 38 and 42 weeks gestation and presented with medical reasons for induction of labour, a singleton pregnancy with cephalic presentation, and with unfavourable cervices.</p>",<p>Controlled-release dinoprostone vaginal pessary Vs Vaginal dinoprostone</p>,"<p>Mode of delivery, time from induction to delivery, oxytocin augmentation, and uterine hyperstimulation.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Elpo 2023,2023,PUB,26536650,<p>2-arm active-controlled randomised trial</p>,"<p>250 women</p><p>Inclusion criteria: healthy pregnant women with normal-risk pregnancies, aged between 18 and 40 years, admitted for late-term labour induction, and with a Bishop index ≤6 at admission.</p><p>Exclusion criteria: women with contraindications to the use of misoprostol (e.g., previous cesarean section or placenta previa) or use of a Foley catheter (e.g., membrane rupture, vaginal infection, or chorioamnionitis) and with cervical dilation ≥3 cm were excluded from the study, as well as those with nonreassuring pre-induction cardiotocographic evaluation and the patients who underwent cesarean sections due to induction failure before completing the hospital protocol. Patients with difficulties in positioning the transcervical Foley catheter were also excluded from the “combined” group.</p>",<p>Balloon catheter plus misoprostol Vs 25 µg vaginal misoprostol</p>,"<p>Mode of delivery, postpartum haemorrhage, uterine hyperstimulation, time from induction to delivery, abruptio placentae, APGAR score, and neonatal intensive care unit admission.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
ElSedeek 2009,2009,PUB,26536653,<p>2-arm active-controlled randomised trial</p>,"<p>150 women</p><p>Inclusion criteria: women with 40 completed weeks, uncomplicated singleton pregnancy up to third parity.</p><p>Exclusion criteria: seropositive cases.</p>",<p>50 µg vaginal misoprostol Vs Oxytocin</p>,<p>Time from indcution to delivery and blood loss.</p>,<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Emery 1988,1988,PUB,26536655,<p>3-arm active-controlled randomised trial</p>,<p>100 women</p><p>Eligibility criteria: women with an unfavourable cervix (Bishop score &lt; 6) and requiring induction of labour.</p>,<p>Osmotic cervical dilator (Lamicel) Vs Osmotic cervical dilator (Dilapan) Vs Vaginal dinoprostone</p>,<p>Cervical change.</p>,<p>Unable to find contact of authors to confirm unclear information.</p>
EUCTR2010-018688-40-IT,2010,PUB,26536657,<p>2-arm active-controlled randomised trial</p>,"<p>300 women</p><p>Inclusion criteria: pregnant patients between 37 - 42 weeks of gestation are able for labour induction.</p><p>Exclusion criteria: twins, previous hysterotomy, premature rupture of membranes (PROM), low fetal development, preeclampsia, polyhydramnios, contraindication to misoprostol, placenta previa, maternal metrorrhagia, and podalic presentation.</p>",<p>Balloon catheter plus placebo Vs Balloon catheter plus misoprostol</p>,"<p>Time from induction to delivery, mode of delivery, APGAR score, and neonatal intensive care unit admission.</p>",<p>Recruitment status: ongoing</p><p>Unable to find contact of authors to confirm unclear information.</p>
EUCTR2018-002965-20-ES,2018,PUB,26536659,<p>2-arm active-controlled randomised trial</p>,"<p>30 women</p><p>Inclusion criteria: term pregnancies with indications for cervical ripening of low and medium risk, as per the Basic Control of Pregnancy card of the Valencian Community. Additionally, term pregnancies with indications for cervical ripening and well-controlled thyroid endocrinopathy during pregnancy are included. Other criteria encompass single fetuses in longitudinal position with cephalic presentation, previous cardiotocography (CTG) without pathological findings, and the pregnant woman's agreement to participate in the study</p><p>Exclusion criteria: pregnant women exhibiting hypersensitivity to latex, those diagnosed with low insertion placenta in the third-trimester ultrasound, and those classified as high and very high risk according to the Basic Control of Pregnancy card of the Valencian Community. Additionally, exclusion factors include premature rupture of membranes, contraindication of administration of prostaglandins (misoprostol), and language barriers.</p>",<p>25 µg vaginal misoprostol Vs Balloon catheter</p>,"<p>Bishop score, fetal distress, time from induction to delivery, APGAR score, oxytocin augmentation, and epidural analgesia.</p>",<p>Recruitment status: ongoing</p><p>Unable to find contact of authors to confirm unclear information.</p>
Ezechukwu 2015,2015,PUB,26536661,<p>2-arm active-controlled randomised trial</p>,"<p>140 women</p><p>Inclusion criteria: women requiring induction of labour at term (37–42 completed weeks of gestation). All uncomplicated singleton pregnancies in cephalic presentations at term, without uterine contractions, were eligible for the study.</p><p>Exclusion criteria: being unsure of date, pre-conception irregular menstrual cycle, evidence of any contraindication to vaginal delivery, medical diseases in pregnancy, term premature rupture of membranes, known allergy to prostaglandin preparations, and contraindications to receiving prostaglandin including previous cesarean section and history of glaucoma or asthma.</p>",<p>50 µg vaginal misoprostol Vs 50 µg oral misoprostol</p>,"<p>Time from induction to vaginal delivery, oxytocin augmentation, mode of delivery, APGAR score, neonatal intensive care unit admission, uterine hyperstimulation, neonatal death, postpartum haemorrhage, pain, and maternal satisfaction.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Fareed 2020,2020,PUB,26536663,<p>2-arm active-controlled randomised trial</p>,"<p>100 women</p><p>Inclusion criteria: women ages 18 to 35 years with gestational age &gt;38 weeks.</p><p>Exclusion criteria: women with multiple pregnancy, prelabour rupture of membrane, diabetic patients, patients with cardiac disease, abnormal cephalic presentation, and patients with antepartum haemorrhage.</p>",<p>50 µg oral misoprostol Vs Oxytocin</p>,"<p>Time from induction to delivery, mode of delivery, APGAR score, and neonatal intensive care unit admission.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Fatima 2015,2015,PUB,26536665,<p>2-arm controlled randomised trial</p>,<p>200 women</p><p>Inclusion criteria: women with ruptured membranes at or &gt;37 weeks gestation.</p><p>Exclusion criteria: previous caesarean section and not willing to become part of the study.</p>,<p>Vaginal misoprostol Vs Expectant management</p>,"<p>Mode of delivery, time from induction to delivery, APGAR score, and neonatal intensive care unit admission.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Fuchs 2006,2006,PUB,26536667,<p>2-arm active-controlled randomised trial</p>,"<p>52 women</p><p>Inclusion criteria: women undergoing induction of term singleton pregnancies</p><p>Exclusion criteria: Bishop score &lt; 5, ruptured membranes, &gt; 3 contractions in 10 minutes, non-reassuring fetal testing, or prior uterine scar.</p>",<p>50 µg vaginal misoprostol Vs Oxytocin</p>,<p>Caesarean section and time from induction to delivery.</p>,<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Fusi 1989,1989,PUB,26536669,<p>2-arm active-controlled randomised trial</p>,"<p>150 women</p><p>Eligibility criteria: women at term (37-42 weeks), not in labour, with a single fetus, a cephalic presentation and intact membranes.</p>",<p>Vaginal dinoprostone (tablet) Vs Vaginal dinoprostone (gel)</p>,"<p>Time from induction to delivery, mode of delivery, and APGAR score.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Garba 2016,2016,PUB,26536671,<p>2-arm active-controlled randomised trial</p>,"<p>136 women</p><p>Eligibility criteria: multigravida pregnant women with a singleton pregnancy, recruited from the antenatal ward at 41 weeks 3 days gestational age, for induction of labour with an unfavourable cervix.</p>",<p>Vaginal misoprostol Vs Balloon catheter plus oxytocin</p>,"<p>Mode of delivery, time from induction to delivery, APGAR score, and oxytocin augmentation.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Gihwala 1987,1987,PUB,26536673,<p>2-arm active-controlled randomised trial</p>,"<p>50 women</p><p>Inclusion criteria: women requiring induction of labour at term.</p><p>Exclusion criteria: women with a history of antepartum haemorrhage, those who had previously undergone uterine surgery, and those with a history of bronchospasm or glaucoma or who were known to be hypersensitive to prostaglandins.</p>",<p>Vaginal dinoprostone Vs Oxytocin</p>,"<p>Bishop score, mode of delivery, dulation of labour, and fetal distress.</p>","<p>There was some questionable and unclear information identified during the trustworthiness screening, but we were unable to identify the contact details of the first and corresponding authors.</p>"
Gilson 2017,2017,PUB,26536676,<p>2-arm active-controlled randomised trial</p>,"<p>1,101 women</p><p>Eligibility criteria: no information.</p>",<p>Balloon catheter plus oxytocin Vs Oral misoprostol</p>,"<p>Mode of delivery, time from induction to delivery, uterine tachysystole with fetal heart rate changes, neonatal intensive care unit admission, and neonatal death.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Glanville 2002,2002,PUB,26536679,<p>2-arm active-controlled randomised trial</p>,"<p>205 women</p><p>Inclusion criteria: a singleton cephalic presentation, Bishop score &lt; 7, and parity &lt; 4.</p><p>Exclusion criteria: previous caesarean section</p>",<p>Controlled-release dinoprostone vaginal pessary Vs Vaginal dinoprostone</p>,"<p>Mode of delivery, pain control during induction, and uterine hyperstimulation with fetal heart rate abnormalities.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Goedken 2000,2000,PUB,26536681,<p>3-arm active-controlled randomised trial</p>,<p>156 women</p><p>Eligibility criteria: women with rupture of membranes prior to labour onset</p>,<p>50 µg oral misoprostol Vs 25 µg vaginal misoprostol Vs Vaginal dinoprostone</p>,"<p>Mode of delivery, time from induction to delivery, tachysystole, and uterine hyperstimulation.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Green 1998,1998,PUB,26536683,<p>2-arm active-controlled randomised trial</p>,<p>107 women</p><p>Eligibility criteria: women with an uncomplicated singleton pregnancy at term and Bishop score &lt; 6.</p>,<p>Controlled-release dinoprostone vaginal pessary Vs Vaginal dinoprostone</p>,"<p>Bishop score, time from induction to delivery, and mode of delivery.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Gregson 2005,2005,PUB,26536685,<p>2-arm active-controlled randomised trial</p>,"<p>268 women</p><p>Eligibility criteria: singleton pregnancy at term (between 37 and 42 completed weeks of pregnancy), cephalic presentation, no significant maternal or fetal medical condition, no previous uterine surgery, parity &lt; 4 and no contraindication to prostaglandin. Membranes could be intact or ruptured.</p>",<p>25 µg vaginal misoprostol Vs Vaginal dinoprostone</p>,"<p>Time from induction to vaginal delivery, oxytocin augmentation, mode of delivery, uterine hyperstimulation, blood loss, APGAR score, meconium-stained amniotic fluid, and neonatal intensive care unit admission.</p>","<p>There was some questionable and unclear information identified during the trustworthiness screening, but we were unable to identify the contact details of the first and corresponding authors.</p>"
Grimm 2015,2015,PUB,26536688,<p>2-arm active-controlled randomised trial</p>,"<p>121 women</p><p>Inclusion criteria: Multiparous women presenting for induction of labour.</p><p>Exclusion criteria: Women with non-reassuring fetal status, active labour, prior uterine surgery, active bleeding, or chorioamnionitis.</p>",<p>Vaginal misoprostol Vs Oxytocin</p>,<p>Time from induction to delivery and Bishop score.</p>,<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Guha 2015,2015,PUB,26536690,<p>2-arm active-controlled randomised trial</p>,"<p>200 women</p><p>Inclusion criteria: nulliparous women with singleton term pregnancy, intact membrane. Bishop score 4 or less with cephalic presentation.</p><p>Exclusion criteria: foetal compromise of sufficient severity, cephalopelvic disproportion, non-cephalic presentation.</p>",<p>50 µg vaginal misoprostol Vs 40 mg nitric oxide donor</p>,"<p>Mode of delivery, side effects, uterine hyperstimulation, uterine tachysystole, APGAR score, neonatal intensive care unit admission, and maternal satisfaction.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Gul 2022,2022,PUB,26536692,<p>2-arm active-controlled randomised trial</p>,"<p>200 women</p><p>Inclusion criteria: women aged 18-45 at term, singleton pregnancies in a cephalic presentation who require labour induction. Induction is indicated for premature rupture of membranes, postdate pregnancy, polyhydramnios, oligohydramnios, intrauterine growth restriction, mild fetal anomalies, or well-controlled systemic diseases (diabetes mellitus, pregnancy-induced hypertension).</p><p>Exclusion criteria: women with severe pre-eclampsia/eclampsia, cardiac, renal, or hepatic disease, intrauterine fetal death, suspected cephalo-pelvic disproportion, malpresentation, antepartum haemorrhage, or prior uterine scar.</p>",<p>50 µg oral misoprostol Vs 25 µg vaginal misoprostol</p>,<p>Time from induction to delivery</p>,"<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Gupta 2020,2020,PUB,26536694,<p>3-arm active-controlled randomised trial</p>,"<p>174 women</p><p>Inclusion criteria: women (&gt;18 years) for labour induction in singleton pregnancies (cephalic presentation). Induction is required for post-term pregnancy, mild pre-eclampsia, diabetes mellitus, intrauterine growth restriction, intrahepatic cholestasis of pregnancy, and chronic or gestational hypertension. Inclusion necessitates a reactive fetal heart rate, intact membranes, Bishop score &lt; 6, and no vaginal delivery contraindications.</p><p>Exclusion criteria: women with prior uterine/cervical surgery, suspected macrosomia (&gt;4500g) or microneastia (&lt;1500g), antepartum haemorrhage, cephalopelvic disproportion, moderate/severe preeclampsia, glaucoma, prostaglandin contraindications, or grand multiparity</p>",<p>Controlled-release dinoprostone vaginal pessary Vs Balloon catheter Vs Intracervical dinoprostone</p>,"<p>Mode of delivery, oxytocin augmentation, Bishop score, time from induction to delivery, postpartum haemorrhage, and APGAR score.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Hage 1993,1993,PUB,26536697,<p>2-arm placebo-controlled randomised trial</p>,<p>36 women</p><p>Eligibility criteria: nulliparous women at 41 weeks with Bishop score &lt; 9.</p>,<p>Vaginal dinoprostone Vs Placebo</p>,"<p>Bishop score, mode of delivery, and uterine hyperstimulation.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Haghighi 2013,2013,PUB,26536699,<p>2-arm active-controlled randomised trial</p>,"<p>130 women</p><p>Inclusion criteria: nulliparity, singleton term or post-term pregnancy, Bishop score &lt; 5 and cephalic presentation.</p><p>Exclusion criteria: estimated fetal weight over 4,000 g (based on ultrasound and physical examinations); oligohydramnios (amniotic fluid index &lt; 5 cm); intrauterine growth retardation (according to ultrasound examination, &lt; 5th percentile for gestational age); non-reassuring fetal heart rate; rupture of membranes; any contraindications for using prostaglandin or isosorbide dinitrate; BMI over 30 kg/m2; placenta previa; any vaginal bleeding or uterine contraction and suspected chorioamnionitis.</p>",<p>25 µg vaginal misoprostol Vs Nitric oxide donors</p>,"<p>Changes in the Bishop score, time from induction to delivery, mode of delivery, uterine hyperstimulation, fetal distress, and APGAR score.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Haghighi 2015,2015,PUB,26536701,<p>3-arm controlled randomised trial</p>,"<p>149 women</p><p>Inclusion criteria: nulliparous, gestational age of over 40 weeks and 4 days, Bishop score of less than five, singleton pregnancy, cephalic presentation, not having contraindications for isosorbide dinitrate, and not having a previous history of cesarean section or any uterine scar or any underlying disease.</p><p>Exclusion criteria: vaginal bleeding, intolerance to ISDN, labour pain, oligohydramnios, intrauterine growth restriction (IUGR), and non-reassurance of fetal heart rate (FHR).</p>",<p>40 mg vaginal nitric oxide donor Vs 20 mg oral nitric oxide donor Vs No intervention</p>,"<p>Mode of delivery, Bishop score, and side effects.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Harms 2001,2001,PUB,26536704,<p>2-arm active-controlled randomised trial</p>,<p>120 women</p><p>Eligibility criteria: women at term with intact membranes and Bishop scores less than 6 who presented for induction of labor.</p>,<p>25 µg vaginal misoprostol Vs Controlled-release dinoprostone vaginal pessary</p>,"<p>Time from induction to delivery, uterine hyperstimulation, and caesarean section.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Hassan 2005,2005,PUB,26536706,<p>2-arm active-controlled randomised trial</p>,"<p>214 women</p><p>Inclusion criteria: pregnant women at term aged &lt; 35 years, parity 0 - 4 with viable fetus singleton pregnancy cephalic presentation, normal fetal heart rate tracing and cervical bishop's score of less than &amp; were included through structured proforma.</p><p>Exclusion criteria: prior uterine surgery (caesarean section or myomectomy), bad obstetrical history, and other contraindications to vaginal delivery (like placenta praevia etc.).</p>",<p>50 µg oral misoprostol Vs Vaginal dinoprostone</p>,"<p>Oxytocin augmentation, uterine activity, mode of delivery, induction to delivery time interval, side effects, and neonatal intensive care unit admission.</p>","<p>There was some questionable and unclear information identified during the trustworthiness screening, but we were unable to identify the contact details of the first and corresponding authors.</p>"
Hassan 2014,2014,PUB,26536708,<p>2-arm active-controlled randomised trial</p>,"<p>200 women</p><p>Inclusion criteria: women with a live singleton term fetus (37-42 weeks of gestation, as determined by the last menstrual period or by a first or second-trimester ultrasound scan) in cephalic presentation and a reactive non-stress test. Participants should present with a Bishop score of ≤ 7 before the onset of labour and experience fewer than four spontaneous contractions within 20 minutes.</p><p>Exclusion criteria: women in active labour or with a history of uterine surgery other than a lower segment caesarean section, ruptured membranes, chorioamnionitis, antepartum haemorrhage, contraindications to prostaglandin use (e.g., bronchial asthma or glaucoma), contraindications to vaginal delivery, non-vertex presentation, multiple pregnancy, major fetal anomalies, or fetal demise</p>",<p>Vaginal dinoprostone Vs Controlled-release dinoprostone vaginal pessary</p>,"<p>Vaginal birth after cesarean section, time from induction to delivery, caesarean section, uterine hyperstimulation, neonatal intensive care unit admission, and APGAR score.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Hunter 1998,1998,PUB,26536710,<p>2-arm active-controlled randomised trial</p>,"<p>55 women</p><p>Eligibility criteria: women who were to have labour induced for medical or obstetric indications, at a gestation of &gt; 37 weeks, nulliparity, cephalic presentation, reactive fetal non-stress test, intact membranes, Bishop Score &lt; 6, no evidence of spontaneous labour.</p>",<p>Controlled-release dinoprostone vaginal pessary Vs Vaginal dinoprostone</p>,"<p>Mode of delivery, uterine hyperstimulation, and side effects.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Ilyas 2016,2016,PUB,26536712,<p>2-arm active-controlled randomised trial</p>,"<p>100 women</p><p>Inclusion criteria: women aged 20 to 35 years with a gestational age of 37 to 41 weeks.</p><p>Exclusion criteria: women with a history of uterine surgery, palpable uterine contractions, or any contraindication to vaginal delivery, such as placenta previa detected on ultrasound.</p>",<p>50 µg oral misoprostol Vs Vaginal dinoprostone (gel)</p>,<p>Time from induction to delivery and mode of delivery</p>,"<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
IRCT2013032512856N1,2014,PUB,26536714,<p>2-arm active-controlled randomised trial</p>,"<p>82 women</p><p>Inclusion criteria: singleton pregnancy; first or second alive delivery; Bishop Score of 4 or more, no history of any internal disorders, age between 18 to 35 years old.</p><p>Exclusion criteria: twin pregnancy and contraindications of induction.</p>",<p>50 µg sublingual misoprostol Vs Oxytocin</p>,"<p>Time from induction to delivery, Bishop score, and mode of delivery.</p>",<p>Recruitment status: complete</p><p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
IRCT2015122425648N2,2016,PUB,26536716,<p>2-arm active-controlled randomised trial</p>,"<p>80 women</p><p>Inclusion criteria: women desire to have vaginal delivery, gestational age of 41 weeks and above, having Bishop score below 5, normal non-stress test (NST) at birth, normal oxytocin challenge test (OCT), and lack of uterine contractions.&nbsp;</p><p>Exclusion criteria: contraindication of misoprostol or oxytocin, fetal macrosomia, polyhydramnios, placenta previa or abruption, meconial, vaginal bleeding, intrauterine growth restriction, non-cephalic presentation, and narrow pelvis.</p>",<p>50 µg sublingual misoprostol Vs Oxytocin</p>,"<p>Fetal heart beat changes, caesarean section, and APGAR score.</p>",<p>Recruitment status: complete</p><p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
IRCT20181123041731N1,2019,PUB,26536718,<p>2-arm active-controlled randomised trial</p>,"<p>200 women</p><p>Inclusion criteria: alive singleton pregnancy, gestational age is greater than or equal to 36 weeks, cephalic presentation, and Bishop Score is less than 4.</p><p>Exclusion criteria: symptoms of chorioamnionitis in mother or fetus at the onset of hospitalization, gestational diabetes, fetal distress, previous cesarean section, any contraindication for vaginal delivery, time of membrane rupture exceeds 12 hours, and active labour phase.</p>",<p>25 μg sublingual misoprostol Vs Balloon catheter plus misoprostol</p>,<p>Time from induction to delivery.</p>,<p>Recruitment status: complete</p><p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
IRCT20191014045106N1,2020,PUB,26536720,<p>2-arm active-controlled randomised trial</p>,"<p>160 women</p><p>Inclusion criteria: a definitive diagnosis of ruptured membranes confirmed by speculum examination or a positive fern test, gestational age ranging from 34 to 42 weeks, cephalic presentation, Bishop score of 5 or less, indication for vaginal termination of pregnancy, parity less than five, and absence of active labour.</p><p>Exclusion criteria: fetal heart rate abnormalities, a history of cesarean section or uterine scarring, contraindications for vaginal delivery like placenta previa, known allergy to prostaglandin, estimated baby weight over 4 kg, active labour defined as at least 3 contractions within 10 minutes, and other medical conditions such as active cardiovascular disease, asthma, glaucoma, or vaginal bleeding.</p>",<p>50 µg oral misoprostol Vs Oxytocin</p>,"<p>Time from induction to delivery, APGAR score, haemorrhage, and side effects.</p>",<p>Recruitment status: complete</p><p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
IRCT20201024049128N1,2020,PUB,26536722,<p>2-arm active-controlled randomised trial</p>,"<p>144 women</p><p>Inclusion criteria: a singleton gestation, live fetus, cephalic presentation, intact membranes, unfavorable cervix (Bishop score ≤ 6), reassuring fetal heart rate, and gestational age of 28 weeks or more.</p><p>Exclusion criteria: non-cephalic presentation, adequate uterine contractions (3 contractions lasting for 30 seconds every 10 minutes), ruptured membranes, cephalopelvic disproportion, multiple pregnancy, polyhydramnios, estimated fetal weight ≥4000g or ≤1800g, placental abruption, placenta previa, unexplained vaginal bleeding, prior lower segment cesarean section/scarred uterus, non-reassuring fetal status, clinically detected vaginal infections (e.g., genital herpes) or chorioamnionitis, latex or prostaglandins allergy, or any contraindications to receiving prostaglandins, including a history of asthma, glaucoma, or cardiovascular disease, and intrauterine fetal death, renal, or hepatic failure.</p>",<p>25 µg vaginal misoprostol Vs Extra-amniotic saline infusion</p>,"<p>Time from induction to delivery, mode of delivery, uterine hyperstimulation, APGAR score, and chorioamnionitis.</p>",<p>Recruitment status: complete</p><p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
IRCT20201028049169N3,2021,PUB,26536724,<p>2-arm active-controlled randomised trial</p>,"<p>132 women</p><p>Inclusion criteria: gravid one pregnant women with term pregnancies, having indications for pregnancy termination, singleton pregnancies with cephalic presentation, a Bishop score lower than 4 cm, no rupture in fetal membranes, and a lack of uterine contractions</p><p>Exclusion criteria: third trimester bleeding and placenta previa</p>",<p>Osmotic cervical dilator Vs Balloon catheter</p>,<p>Bishop score</p>,<p>Recruitment status: complete</p><p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Jackson 2000,2000,PUB,26536726,<p>2-arm active-controlled randomised trial</p>,<p>400 women</p><p>Eligibility criteria: women at term labour.</p>,<p>Vaginal dinoprostone Vs 50 µg vaginal misoprostol</p>,"<p>Time from induction to delivery, oxytocin augmentation, mode of delivery, uterine hyperstimulation, and neonatal outcomes.</p>",<p>Unable to find contact of authors to confirm unclear information.</p>
Jalilian 2011,2011,PUB,26536730,<p>2-arm active-controlled randomised trial</p>,"<p>40 women</p><p>Inclusion criteria: singleton gestation, cephalic presentation, reactive fetal heart rate (FHR) pattern, intact membranes and gestational age between 37-41 weeks.</p><p>Exclusion criteria: Bishop Score at least 7 or cervical dilatation greater than 3 cm, ultrasonographically estimated fetal weight greater than 4500 g or less than 2000 g, evidence of cephalopelvic disproportion, placenta previa or unexplained vaginal bleeding, previous section cesarean or uterine surgery and contraindications to prostaglandins.</p>",<p>Balloon catheter Vs Vaginal dinoprostone</p>,"<p>Time from induction to delivery, oxytocin augmentation, APGAR score, and neonatal intensive care unit admission.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Javaid 2008,2008,PUB,26536732,<p>2-arm controlled randomised trial</p>,<p>100 women</p><p>Inclusion criteria: women who had ruptured membranes at ≥ 37 weeks gestation and single fetus with cephalic presentation are included in this study.</p><p>Exclusion criteria: women having ruptured membranes at &lt; 37 weeks and indication for elective caesarean section.</p>,<p>Oral misoprostol Vs Expectant management</p>,"<p>Length of hospital stay, caesarean section, oxytocin augmentation, requirement of analgesia, chorioamnonitis, postpartum haemorrhage, and APGAR score.</p>",<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
Jindal 2007,2007,PUB,26536734,<p>2-arm active-controlled randomised trial</p>,"<p>100 women</p><p>Inclusion criteria: women with various indications for labour induction, singleton term pregnancy with the cephalic presentation, intact membranes, Bishop score &lt; 4, one previous cesarean section, and volunteering to participate in the trial.</p><p>Exclusion criteria: women with multifetal pregnancies, non-reassuring fetal heart tracings, thyrotoxicosis, heart disease, bronchial asthma, sickle cell disease, glaucoma, and known hypersensitivity to prostaglandins were excluded from the study.</p>",<p>Balloon catheter plus oxytocin Vs 50 µg vaginal misoprostol</p>,"<p>Time from induction to delivery, mode of delivery, uterine hyperstimulation, unterine scar or dehiscence, APGAR score, and neonatal intensive care unit admission.</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Jindal 2011,2011,PUB,26536736,<p>2-arm active-controlled randomised trial</p>,"<p>103 women</p><p>Inclusion criteria: women with term gestation, singleton pregnancy, cephalic presentation, no fetal congenital malformation, reactive fetal heart rate pattern, Bishop score ≤4, and rupture of membranes within the last 4 hours were recruited for the study.</p><p>Exclusion criteria: women with a Bishop score &gt;4, cephalopelvic disproportion, placenta previa or unexplained vaginal bleeding, previous caesarean section or other uterine surgery, active herpes simplex, cervical carcinoma, chorioamnionitis, and any contraindication to the use of prostaglandins (e.g., hypersensitivity, asthma, acute pelvic inflammatory disease)</p>",<p>50 µg oral misoprostol Vs 50 µg vaginal misoprostol</p>,"<p>Mode of delivery, time from induction to delivery, uterine hyperstimulation, APGAR score, and neonatal intensive care unit admission</p>","<p>The corresponding author was requested to provide evidence of trial documentation and data, but no response was received by the time this review was published.</p>"
Johnson 1985,1985,PUB,26536738,<p>2-arm active-controlled randomised trial</p>,"<p>80 women</p><p>Eligibility criteria: women required delivery, a decision made by the consultant in charge of the<br>case or his deputy that the cervix was unripe (Bishop score &lt;6) and that a decision had already been made by the obstetrician in charge of the case to use a ripening agent, regardless of the trial.</p>",<p>Osmotic cervical dilator Vs Vaginal dinoprostone</p>,<p>Mode of delivery</p>,<p>We attempted to clarify uncertain information with trial authors but did not receive a response by our planned deadline.</p>
